Table S7. The PRI result of 1913 true external FCOCs using the optimal Mouse-QSTR model,,,,,,,,,,
CID,Score(MAE-LOO),Score(Proximity Train YObs Mean),Score(Similarity based AD),CompositeScore,PredictionQuality,YPred(Test),AD status,Closest Training Compound,Euclidean Distance,Generalized Jaccard Coeff.
117006,2,3,3,3,Good,2.70110842,In,6785,0.37929738,0.55994184
117291,3,3,3,3,Good,2.64902086,In,3079009,0.118936096,0.755154202
117425,3,3,3,3,Good,1.73868436,In,6623,0.050486831,0.728928682
118190,2,3,3,3,Good,2.62020926,In,3066716,0.127017199,0.768125055
118320,3,3,3,3,Good,3.266571557,In,3079009,0.135718937,0.773335338
119530,2,3,3,3,Good,1.691304389,In,6781,0.009787281,0.980571978
120307,2,3,3,3,Good,2.335645742,In,24072,0.321949271,0.679461707
121550,2,3,3,3,Good,2.632701277,In,15854,0.110130686,0.869446984
121657,3,3,3,3,Good,2.995244988,In,3066712,0.236948986,0.724405313
121712,2,3,3,3,Good,3.585153767,In,3066716,0.199319561,0.70467487
122297,2,3,3,3,Good,1.673472717,In,8343,0.013429063,0.97847121
122659,3,3,3,3,Good,3.185698263,In,3079009,0.106580578,0.853682809
122805,3,3,3,3,Good,2.462349833,In,8573,0.316061892,0.49263177
124183,2,3,3,3,Good,2.168989243,In,6626,0.072192129,0.736280519
124813,3,3,3,3,Good,2.144794036,In,65913,0.12814382,0.721254477
124986,2,3,3,3,Good,1.998539006,In,3066712,0.230988767,0.715167888
125286,3,3,3,3,Good,2.343816127,In,10708,0.227590117,0.506059988
125287,2,3,3,3,Good,1.477948296,In,6819,0.234507901,0.67714948
126021,2,3,3,3,Good,1.641802675,In,6785,0.236272773,0.650492291
127484,2,3,3,3,Good,1.564371095,In,6787,0.139943409,0.821400485
127485,2,3,2,3,Good,3.451843395,In,100191,0.310564756,0.733920962
137838,2,3,3,3,Good,1.889688938,In,3026,0.018757273,0.957388811
138795,3,3,2,3,Good,2.783982986,In,26391,0.29147196,0.713219178
152042,2,3,3,3,Good,2.245946159,In,3089902,0.20551187,0.730656238
161672,2,3,3,3,Good,1.786403192,In,3026,0.064513403,0.862296584
167737,2,3,3,3,Good,1.826347443,In,3026,0.006393806,0.985683045
169995,2,3,3,3,Good,1.668801122,In,6785,0.136131187,0.832210281
170231,2,3,3,3,Good,1.910026027,In,8554,0.131494641,0.781153904
171779,2,3,3,3,Good,1.866437162,In,8554,0.127855215,0.804826701
172810,2,3,3,3,Good,1.575135816,In,6785,0.073219467,0.896053142
179810,2,3,3,3,Good,1.562180041,In,6785,0.005117569,0.994311032
180551,2,3,3,3,Good,1.710098173,In,8343,0.061736937,0.851301105
181582,2,3,3,3,Good,1.777811146,In,8343,0.062042687,0.843073277
182851,2,3,3,3,Good,1.198299127,In,6785,0.407545879,0.49195099
186934,2,3,3,3,Good,1.566866599,In,6787,0.076783858,0.866027342
186935,2,3,3,3,Good,1.813568196,In,3026,0.011468076,0.974609279
186936,2,3,3,3,Good,1.848116921,In,2347,0.126300419,0.762875
187140,2,3,3,3,Good,1.322145803,In,24072,0.155499327,0.845345163
190983,2,3,3,3,Good,1.615780141,In,6787,0.043249861,0.915765408
191964,2,3,3,3,Good,1.912636315,In,6787,0.080699152,0.87656301
220134,2,3,3,3,Good,2.191709221,In,8344,0.062088264,0.889339363
220773,2,3,3,3,Good,1.792655144,In,6787,0.102601319,0.819856416
220895,2,3,3,3,Good,1.409322745,In,2347,0.118185514,0.755407362
226521,2,3,3,3,Good,2.950880219,In,3066712,0.190774116,0.776158621
227217,3,3,3,3,Good,3.452097775,In,4115,0.228410861,0.727721559
230027,2,3,3,3,Good,2.251425485,In,8344,0.216903037,0.708928135
231208,2,3,2,3,Good,3.367749261,In,3066715,0.222034626,0.771564973
232053,2,3,3,3,Good,2.675744764,In,30580,0.076233458,0.844981847
235391,2,3,3,3,Good,1.758507429,In,6781,0.02314965,0.941590626
236032,3,3,3,3,Good,2.586549789,In,41821,0.105128611,0.815226171
236045,2,3,3,3,Good,2.133403251,In,6787,0.211588489,0.70923602
236781,2,3,3,3,Good,2.05563261,In,6781,0.098592651,0.813967035
237347,2,3,3,3,Good,1.946362497,In,6781,0.102750161,0.792610378
237992,3,3,3,3,Good,2.842799635,In,8344,0.292431738,0.653006957
238615,2,3,3,3,Good,2.627639469,In,202896,0.206470858,0.675681991
239659,2,3,3,3,Good,2.798777012,In,8344,0.233755597,0.702544134
241306,2,3,3,3,Good,1.071060019,In,18725,0.255429211,0.682132967
241309,2,3,3,3,Good,2.354156101,In,30580,0.395172545,0.525812717
241314,2,3,2,3,Good,3.607597831,In,3066715,0.30731396,0.751324431
242859,2,3,3,3,Good,1.798964008,In,3026,0.017266977,0.962254916
244499,2,3,3,3,Good,1.675607382,In,6781,0.016064468,0.968504043
245354,2,3,3,3,Good,1.944132818,In,2347,0.089907104,0.809275781
245799,2,3,3,3,Good,1.760649654,In,6781,0.051279175,0.854487233
245866,2,3,3,3,Good,1.844740045,In,6781,0.052545081,0.843709161
249496,2,3,3,3,Good,1.786655253,In,3026,0.064521493,0.862098198
249553,2,3,3,3,Good,1.991393443,In,8554,0.132228833,0.75328746
249554,2,3,3,3,Good,2.390170239,In,8344,0.062918736,0.890143663
249793,2,3,3,3,Good,1.692376405,In,24072,0.194125176,0.875290803
249798,2,3,3,3,Good,2.370189711,In,24072,0.247420137,0.788065652
249800,2,3,3,3,Good,2.096436204,In,8344,0.088935766,0.863778267
249912,2,3,3,3,Good,1.99960667,In,6781,0.071661492,0.843906612
249923,2,3,3,3,Good,2.237111323,In,8344,0.093833224,0.845662497
250462,2,3,3,3,Good,2.256127776,In,3259,0.367171403,0.596312956
250503,2,3,3,3,Good,3.337120192,In,15854,0.168099333,0.803978409
250557,2,3,3,3,Good,1.899466377,In,24072,0.138005849,0.884307312
250963,3,3,3,3,Good,3.064780887,In,8573,0.280383602,0.612433632
250964,2,3,3,3,Good,2.056452352,In,6626,0.017593768,0.960405945
250965,2,3,3,3,Good,2.444288999,In,2391,0.313456339,0.719950416
251202,2,3,3,3,Good,2.515505462,In,8344,0.216935967,0.689243808
252418,2,3,3,3,Good,1.204153007,In,6785,0.334522318,0.542671787
254664,2,3,3,3,Good,1.258865234,In,8554,0.095740805,0.842890382
257492,2,3,3,3,Good,1.68061719,In,6781,0.01406106,0.972323208
257513,2,3,3,3,Good,1.326470016,In,8554,0.239870933,0.601658291
257599,2,3,3,3,Good,1.428970568,In,2347,0.114302709,0.763298551
257655,2,3,3,3,Good,3.574273277,In,214768,0.165472839,0.731915446
267999,2,3,3,3,Good,3.381823103,In,4115,0.263174445,0.643569218
272504,2,3,3,3,Good,3.364847668,In,4115,0.262540438,0.649613508
273813,2,3,3,3,Good,3.006796435,In,15854,0.203033042,0.772136624
276088,2,3,3,3,Good,2.917875167,In,3066715,0.206488074,0.73273789
280322,2,3,3,3,Good,3.22673682,In,15854,0.299067005,0.652245755
281287,2,3,3,3,Good,2.33831295,In,15854,0.184885592,0.724865044
284733,2,3,3,3,Good,2.886682148,In,202896,0.153249852,0.747261888
284736,2,3,3,3,Good,3.25640473,In,3034829,0.195455143,0.76099658
