Table S5. Detailed RASTR descriptors of all compounds in Mouse and Rat q-RASTR models,,,,,,,,,,,,,,,,,,,,,
Mouse RASTR descriptors,,,,,,,,,,,,,,,,,,,,,
No.,CID,Status,pLD50,RA function(GK),SD Activity(GK),SE(GK),CVact(GK),CVsim(GK),MaxPos(GK),MaxNeg(GK),Abs MaxPos-MaxNeg,Avg.Sim(GK),SD similarity(GK),gm(GK)[Banerjee-Roy Coefficient],gm*Avg.Sim,gm*SD Similarity,Pos.Avg.Sim,Neg.Avg.Sim,sm1(GK)[Banerjee-Roy similarity coefficient 1],sm2(GK)[Banerjee-Roy similarity coefficient 2],gm_class(GK)
21,8345,Test,1.64,1.852548154657843,0.4710302955309612,0.2729942425265926,0.25426075664843284,0.10745943239851913,0.6103214755679258,0.573431228173508,0.03689024739441782,0.5588784150441387,0.06005675726042714,0.33333333333333337,0.18629280501471293,0.02001891908680905,0.6103214755679258,0.5331568847822452,0.06044396088158316,0.13807044378263625,1
22,8346,Train,0.92,1.0164902965485498,0.2013548115493037,0.11637425748201369,0.19808827711685545,0.05612531667486861,0,0.8866216894761638,0.8866216894761638,0.8334449447624678,0.04677736145586188,-1,-0.8334449447624678,-0.04677736145586188,0,0.8334449447624678,-1,-1,0
23,8379,Train,0.92,1.154918934202378,0.2739557171291884,0.1583833212789824,0.23720774594313024,0.06386763549187668,0,0.943831680719664,0.943831680719664,0.8799419872782224,0.0561998140974831,-1,-0.8799419872782224,-0.0561998140974831,0,0.8799419872782224,-1,-1,0
24,8380,Train,0.97,0.8669828003964368,0.04633280312290983,0.026761467275643294,0.053441432865477465,0.035461963963946366,0,0.9007822755021049,0.9007822755021049,0.8762339232891456,0.031072975811667028,-1,-0.8762339232891456,-0.031072975811667028,0,0.8762339232891456,-1,-1,0
25,8554,Test,1.46,1.5736528849751663,0.5130290119302275,0.29728867974068124,0.32601154729133525,0.10522769832070403,0.15466757097997746,0.1454703199788166,0.009197251001160867,0.14186905958503185,0.014928554603055715,0.33333333333333337,0.047289686528343956,0.004976184867685239,0.15466757097997746,0.13546980388755903,0.059464637240288075,0.13532032388578638,1
26,8560,Train,2.57,2.3423820552045496,0.23669702384034222,0.1367963651962105,0.10104970848560935,0.05530843701035948,0.651398986411729,0,0.651398986411729,0.6283303193736921,0.034751967890778904,1,0.6283303193736921,0.034751967890778904,0.6283303193736921,0,1,1,1
27,8571,Test,2.3,2.30260194472266,0.3832092173656017,0.22950126978327173,0.16642443052038586,0.33767889913193344,0.43665635066335623,0.2211220276392879,0.21553432302406833,0.321427629309962,0.10853932801597516,0.33333333333333326,0.10714254310332064,0.03617977600532504,0.37158043014529907,0.2211220276392879,0.493601713788508,0.4680941797972189,1
28,12111,Train,1.61,1.4389064888995746,0.44568630069042414,0.2819086281201971,0.309739586365525,0.5480939206830981,0,0.2556808612128765,0.2556808612128765,0.15662180059096723,0.0858434567503496,-1,-0.15662180059096723,-0.0858434567503496,0,0.15662180059096723,-1,-1,0
29,19283,Train,1.38,0.8649791148162549,0.04543655326790426,0.026269894643305196,0.052529075546010405,0.06514943447158436,0,0.9770382373071056,0.9770382373071056,0.9158007662467798,0.05966390200962132,-1,-0.9158007662467798,-0.05966390200962132,0,0.9158007662467798,-1,-1,0
30,20393,Train,2.32,1.2897000991613539,0.31697705404179666,0.1957107029185133,0.2457757848106824,0.46419975897695165,0,0.38616296101262343,0.38616296101262343,0.2526395187359588,0.11727520370528513,-1,-0.2526395187359588,-0.11727520370528513,0,0.2526395187359588,-1,-1,0
31,24072,Train,1.67,2.397334072981497,0.15317593127462562,0.08862530777852395,0.06389427864933526,0.08014426833003643,0.5942147221498318,0,0.5942147221498318,0.5465898221185338,0.043806041370334656,1,0.5465898221185338,0.043806041370334656,0.5465898221185338,0,1,1,1
32,25689,Train,3.29,2.940198973747565,0.32260003639616286,0.21362481046030504,0.1097204778576527,0.6879480588663334,0.411101070176845,0,0.411101070176845,0.2347500752649706,0.16149585859726218,1,0.2347500752649706,0.16149585859726218,0.2347500752649706,0,1,1,1
33,29321,Train,2.95,2.3795190127829513,0.15374124273165632,0.091177709815844,0.06461021824400101,0.28764257414997946,0.2372061937801731,0,0.2372061937801731,0.17845910878933,0.0513324374326741,1,0.17845910878933,0.0513324374326741,0.17845910878933,0,1,1,1
34,30948,Train,2.67,1.5085992471193501,0.6592899513757443,0.4088955588016241,0.4370212650143168,0.4805720145325466,0.7073853070440478,0.3391349532628695,0.36825035378117826,0.45510994904712826,0.21871310504738306,0.33333333333333337,0.15170331634904277,0.0729043683491277,0.7073853070440478,0.3289722700486686,0.5205795909445542,0.8314760813022639,1
35,33154,Test,0.9,1.0327217407338767,0.16867846073530496,0.09772740405286641,0.16333389148507518,0.10255858664018275,0,0.8534129121626216,0.8534129121626216,0.7713258536760158,0.07910608939204458,-1,-0.7713258536760158,-0.07910608939204458,0,0.7713258536760158,-1,-1,0
