Table S8. The PRI result of 1909 true external FCOCs using the optimal Rat-QSTR model,,,,,,,,,,
CID,Score(MAE-LOO),Score(Proximity Train YObs Mean),Score(Similarity based AD),CompositeScore,PredictionQuality,YPred(Test),AD status,Closest Training Compound,Euclidean Distance,Generalized Jaccard Coeff.
117089,2,3,3,3,Good,2.145308488,In,1,0.070447401,0.928632239
117095,3,3,3,3,Good,2.872629226,In,70,0.237710399,0.64446574
117272,3,3,3,3,Good,3.159349745,In,47,0.255543496,0.783576673
117391,3,3,3,3,Good,2.673119092,In,10,0.268715371,0.68543072
117608,3,3,3,3,Good,1.498735696,In,57,0.095685217,0.859232096
117950,2,3,3,3,Good,1.258103807,In,42,0.176432799,0.836254828
118551,3,3,1,3,Good,3.440392174,Outside AD,63,0.448685143,0.505149898
118722,3,3,1,3,Good,3.118119745,Outside AD,63,0.46546136,0.595222852
118756,3,3,3,3,Good,2.361701664,In,72,0.174001427,0.855916135
119169,2,3,3,3,Good,2.481278479,In,79,0.180558761,0.735863037
119290,3,3,3,3,Good,3.059956966,In,63,0.29843339,0.614339711
120162,2,3,2,3,Good,2.243942128,In,44,0.35186196,-0.390353168
121756,3,3,2,3,Good,2.996161911,In,63,0.325784643,0.648186453
122038,3,3,1,3,Good,3.407130917,Outside AD,63,0.337016312,0.609804024
123187,3,2,1,3,Good,3.714098792,Outside AD,63,0.413177469,0.60661629
123755,2,3,3,3,Good,2.373896408,In,1,0.142268106,0.880052353
123822,2,3,1,3,Good,3.550198569,Outside AD,49,0.403978984,0.248201257
123934,3,3,3,3,Good,0.982381301,In,16,0.005353499,0.994836577
124284,2,3,3,3,Good,3.419165597,In,79,0.224496177,0.70195288
124805,2,3,1,3,Good,2.966583818,Outside AD,70,0.28738971,0.627440793
124814,3,2,3,3,Good,4.309406649,In,34,0.392106177,0.690030867
126022,2,3,1,3,Good,3.225980434,Outside AD,63,0.483512972,0.571756347
126118,3,3,3,3,Good,2.870691701,In,47,0.151634303,0.900068998
126164,2,3,2,3,Good,2.442474185,In,63,0.230423452,0.753789384
126322,2,3,1,3,Good,2.711196218,Outside AD,44,0.247866702,-0.436825981
126346,2,3,2,3,Good,2.508445019,In,44,0.357903007,-0.414168281
126969,3,3,3,3,Good,2.414903921,In,46,0.171058948,0.788292473
127143,2,3,3,3,Good,1.967531739,In,59,0.097225563,0.812042391
127173,2,3,3,3,Good,2.550445319,In,13,0.211805805,0.264431286
127463,2,3,3,3,Good,1.268117569,In,68,0.103479242,0.87130812
128664,2,3,3,3,Good,1.51187295,In,17,0.155413892,0.808229783
128856,2,3,3,3,Good,1.652189198,In,10,0.239600855,0.707274364
133747,3,3,3,3,Good,0.890072309,In,23,0.013185176,0.982987412
136159,3,3,3,3,Good,0.805906986,In,62,0.034212925,0.962497331
156626,3,3,3,3,Good,0.918624431,In,30,0.017041693,0.984126786
157231,2,3,3,3,Good,1.902177747,In,8,0.151404039,0.717244161
157469,2,3,3,3,Good,1.645388978,In,8,0.063088032,0.872994459
169794,2,3,3,3,Good,1.519866504,In,68,0.107843458,0.858358985
175037,2,3,3,3,Good,1.653994638,In,31,0.031273652,0.968654051
175686,2,3,3,3,Good,1.494331779,In,68,0.074098966,0.914512934
187106,2,3,3,3,Good,1.625490312,In,8,0.088518358,0.824031586
187107,2,3,3,3,Good,1.521151937,In,14,0.144303694,0.785214578
187108,2,3,3,3,Good,2.410765473,In,6,0.047361838,0.90868651
187109,2,3,3,3,Good,1.237477347,In,15,0.082901102,0.887198299
187110,2,3,3,3,Good,1.183177091,In,18,0.036495244,0.954329712
221066,2,3,3,3,Good,1.043022141,In,22,0.024325743,0.972445009
222220,2,3,3,3,Good,1.227358244,In,15,0.089328365,0.880982484
223408,2,3,3,3,Good,1.441327572,In,17,0.102587178,0.832144524
226522,3,3,3,3,Good,1.875127374,In,4,0.150103156,0.847946138
226523,2,3,3,3,Good,1.979690302,In,8,0.161941126,0.639715505
226524,2,3,3,3,Good,2.026262681,In,12,0.031084645,0.947861798
226525,3,3,3,3,Good,1.891782469,In,46,0.08817326,0.86419865
226754,2,3,3,3,Good,1.801769144,In,13,0.073994809,0.7013856
228533,2,3,3,3,Good,1.554883342,In,14,0.144522158,0.756517444
235011,2,3,3,3,Good,1.348880019,In,17,0.036667415,0.951468027
235340,2,3,3,3,Good,1.790554992,In,13,0.318151492,-0.023683534
237865,2,3,3,3,Good,2.141168598,In,59,0.03084994,0.947907733
238206,2,3,3,3,Good,2.146479627,In,44,0.106441373,0.018445143
241295,2,3,1,3,Good,1.906457262,Outside AD,54,0.430411585,0.475972239
241296,2,3,3,3,Good,1.374337388,In,14,0.071597939,0.894751045
241307,2,3,3,3,Good,2.02244165,In,26,0.071371639,0.92272136
241310,2,3,3,3,Good,2.902253803,In,79,0.265147697,0.708396296
241315,2,3,3,3,Good,1.94013204,In,13,0.026634701,0.87775555
247591,3,3,3,3,Good,1.873638209,In,46,0.044215697,0.949053251
247592,2,3,3,3,Good,2.892157083,In,1,0.191330692,0.822422283
249299,2,3,1,3,Good,2.449043304,Outside AD,54,0.650514938,0.186395306
249587,2,3,3,3,Good,1.797840614,In,13,0.092153444,0.653614434
250502,3,3,3,3,Good,1.756113119,In,4,0.116386544,0.871680098
250547,2,3,3,3,Good,2.87728703,In,36,0.304627921,0.528584669
250551,2,3,3,3,Good,1.672979484,In,13,0.233350771,0.311532257
250555,3,3,3,3,Good,2.61730238,In,79,0.117456327,0.869470454
251065,2,3,3,3,Good,2.113304424,In,13,0.091379057,0.596722263
251436,2,3,3,3,Good,1.618040166,In,8,0.123737047,0.817755677
253605,2,3,3,3,Good,2.949760589,In,80,0.346665885,0.628253281
256605,2,3,3,3,Good,1.792407693,In,8,0.069143527,0.844270629
256610,2,3,3,3,Good,1.76767197,In,19,0.21343082,0.74583604
257484,2,3,3,3,Good,1.145152653,In,15,0.021131189,0.974735521
263041,2,3,2,3,Good,2.623366337,In,8,0.467756306,0.238005334
284612,2,3,1,3,Good,2.498412769,Outside AD,54,0.491002487,0.335630371
286191,2,3,3,3,Good,1.625890153,In,8,0.204108382,0.607346142
302442,2,3,3,3,Good,1.733674817,In,8,0.07196839,0.847392632
303184,2,3,3,3,Good,2.116724481,In,13,0.249210724,0.417080075
313795,3,3,3,3,Good,1.773568077,In,51,0.203982059,0.802361282
316224,2,3,3,3,Good,2.087083293,In,8,0.381574391,0.581058289
344285,2,3,3,3,Good,2.104676922,In,44,0.175484478,-0.005598127
347524,2,3,3,3,Good,1.418034158,In,14,0.102511759,0.850101899
359018,2,3,3,3,Good,3.031325111,In,44,0.335651541,0.004209336
359066,2,3,3,3,Good,2.998309817,In,36,0.355011309,0.581734451
359096,2,3,1,3,Good,2.78884989,Outside AD,54,0.602382771,0.169432467
392070,2,3,3,3,Good,2.951776085,In,1,0.223962576,0.766570735
393210,2,3,3,3,Good,2.627658305,In,36,0.115023626,0.86529826
393458,2,3,3,3,Good,1.960462164,In,33,0.120293945,0.850768435
434362,3,3,3,3,Good,0.956730919,In,40,0.015326351,0.980035194
434363,2,3,3,3,Good,3.067591388,In,79,0.294493745,0.671694217
438021,2,3,3,3,Good,1.734148051,In,42,0.184420633,0.818815805
438022,3,3,3,3,Good,1.864089935,In,4,0.123142359,0.889728192
438024,2,3,3,3,Good,2.199574595,In,44,0.153347101,-0.212764235
438029,2,3,3,3,Good,1.404805665,In,17,0.08162496,0.866497639
473505,2,3,3,3,Good,1.228825716,In,17,0.048945656,0.925673495
517235,2,3,3,3,Good,1.173630854,In,18,0.033869205,0.951066256
517694,3,3,3,3,Good,1.12126906,In,11,0.095514225,0.858260747
518169,2,3,3,3,Good,1.363942709,In,17,0.047879872,0.921589545
518348,2,3,3,3,Good,1.208687799,In,18,0.054074952,0.922010087
518349,2,3,3,3,Good,1.116561025,In,15,0.060502221,0.92576871
520474,2,3,3,3,Good,1.207214561,In,15,0.068207077,0.907126812
521439,2,3,3,3,Good,1.221609155,In,17,0.062026766,0.921173192
525135,2,3,3,3,Good,1.230983599,In,15,0.089882318,0.879266608
525140,2,3,3,3,Good,2.057767865,In,33,0.051748157,0.912797044
525141,2,3,3,3,Good,2.073839926,In,37,0.181902347,0.707811746
