"Table S2.Detailed statistic information of the training, test and true external sets in the Rat-QSTR models  ",,,,,,,,,,,,,
Rat-QSTR Model,Compound Information,,,,Rat-QSTR Model-Descriptor Value,,,,,Predicted Activity by  Rat-QSTR,,Model's AD,
Dataset grouping,No.,CID,Status,Exp. endpoint,AATSC7i,CATS2D_08_DL,ChiA_X,F06[C-N],P_VSA_charge_10,Predicted endpoint,Residual,HAT i/i (h*=0.3529),
,63,3079010,Train,2.43,-0.08758,1,0.997512,2,20.32267,2.7908,1.1171,0.0667,
,64,3089902,Test,1.96,-0.01342,4,0.997459,4,2.756748,2.0599,0.3163,0.1074,
,65,4485134,Train,4.62,-0.03042,1,0.995834,0,45.14912,4.7538,0.5284,0.4261,
,66,9588367,Test,3.16,-0.02514,0,0.996473,14,12.73067,3.3502,1.6032,0.8741,
,67,9588691,Train,3.11,-0.00146,0,0.99729,14,12.73067,3.0951,-0.1155,0.8519,
, Total Number of True External Compounds = 1909,,,,,,,,,,,,
,No.,CID,Status,Exp. endpoint,AATSC7i,CATS2D_08_DL,ChiA_X,F06[C-N],P_VSA_charge_10,Predicted Activity,Residual,HAT i/i (h*=0.3529),Prediction Quality (Proportion of Good and Moderate for Total True External Set=94.7%)
,1,6818,True external,-,0.0765453110903591,0,0.996444214385012,0,0,1.3813,-,0.0576,Good
,2,6820,True external,-,0.00584631673521526,4,0.995736310182541,0,0,2.0662,-,0.0988,Good
,3,10603,True external,-,0.0222914974387954,2,0.996374637452446,0,4.5923848830442,1.9592,-,0.0379,Good
,4,11283,True external,-,-0.243152238237526,0,0.996824348925279,5,15.7302842837527,2.9056,-,0.1551,Good
,5,11289,True external,-,-0.248197866233845,0,0.996171316950265,0,15.7302842837527,2.7216,-,0.0966,Good
,6,11799,True external,-,-0.569763479613149,0,0.996288348520746,0,0,1.8432,-,0.2158,Good
,7,17082,True external,-,-0.00288517741722877,0,0.998214385519611,0,0,0.9126,-,0.0664,Good
,8,17159,True external,-,0.0838501651414292,0,0.994587926802131,0,0,1.9218,-,0.1824,Good
,9,19284,True external,-,-0.00840152829916851,0,0.997527610719462,0,0,1.1178,-,0.0442,Good
,10,36655,True external,-,0.0487992858157715,0,0.995923718507138,0,0,1.5521,-,0.0741,Good
,11,36656,True external,-,-0.0364713897098126,0,0.995085033455263,0,0,1.8533,-,0.1245,Good
,12,39179,True external,-,-0.0397951209261065,0,0.997954265003365,0,0,1.0127,-,0.055,Good
,13,43109,True external,-,-0.116300314612746,0,0.99440220249805,0,6.3711499014801,2.5309,-,0.1859,Good
,14,62153,True external,-,-0.0719026785938081,0,0.997184602869475,0,0,1.2594,-,0.0404,Good
,15,67031,True external,-,-0.287361770473001,0,0.997704209953786,0,9.18476976608839,1.8592,-,0.075,Good
,16,69059,True external,-,0.0514785382800902,0,0.997210361368225,0,0,1.1724,-,0.0453,Good
,17,69455,True external,-,0.0895248673983968,0,0.994345425560371,0,0,1.9894,-,0.2102,Good
,18,74411,True external,-,-0.0463955027566461,0,0.996949136099716,0,0,1.3122,-,0.0402,Good
,19,74926,True external,-,0.0798978821760653,0,0.995733192634794,0,9.18476976608839,2.2017,-,0.0786,Good
,20,77007,True external,-,-0.0268807870780456,0,0.997428715148241,0,0,1.1588,-,0.0421,Good
,21,86119,True external,-,0.0860734660803814,0,0.995982895966861,0,0,1.5107,-,0.0764,Good
,22,86297,True external,-,-0.0273322479396844,0,0.997816922590822,0,0,1.045,-,0.0506,Good
,23,87301,True external,-,-0.282298882070478,3,0.996567778112181,0,13.7771546491326,2.8201,-,0.0875,Good
,24,88003,True external,-,-0.00376984612382301,0,0.998052056930485,0,0,0.9608,-,0.0594,Good
,25,88403,True external,-,0.042668032693761,0,0.997975538692005,0,0,0.9534,-,0.0598,Good
,26,89352,True external,-,-0.29638896537137,3,0.995110744491971,0,9.18476976608839,2.9503,-,0.1383,Good
,27,89726,True external,-,0.361725323516791,0,0.994957205840166,0,0,1.6345,-,0.237,Good
,28,92328,True external,-,-0.152154827193825,0,0.994045195443696,0,9.18476976608839,2.8469,-,0.236,Good
,29,92709,True external,-,-0.212335416861479,0,0.993783732814476,0,0,2.3487,-,0.2833,Good
,30,95524,True external,-,0.0384081341485774,0,0.99660609176126,0,0,1.3583,-,0.049,Good
,31,95886,True external,-,0.294733391980049,0,0.994957205840166,1,0,1.7534,-,0.2119,Good
,32,96361,True external,-,-0.020333272240003,0,0.997704209953786,0,0,1.0736,-,0.0476,Good
