"Table S2.Detailed statistic information of the training, test and true external sets in the Rat-QSTR models  ",,,,,,,,,,,,,
Rat-QSTR Model,Compound Information,,,,Rat-QSTR Model-Descriptor Value,,,,,Predicted Activity by  Rat-QSTR,,Model's AD,
Dataset grouping,No.,CID,Status,Exp. endpoint,AATSC7i,CATS2D_08_DL,ChiA_X,F06[C-N],P_VSA_charge_10,Predicted endpoint,Residual,HAT i/i (h*=0.3529),
,419,5324246,True external,-,-0.137221675674939,0,0.995829946590468,2,0,1.851,-,0.0961,Good
,420,5378390,True external,-,-0.147822056023235,0,0.994539904852424,0,3.18557495074005,2.2979,-,0.1752,Good
,421,5380110,True external,-,0.114165599997511,0,0.995509796241794,4,5.24342809458423,2.2851,-,0.1636,Good
,422,5387844,True external,-,0.00475071360891637,1,0.994310902942087,9,2.32792015631004,2.9998,-,0.5457,Good
,423,5453480,True external,-,0.0395550404989646,8,0.997172952268929,6,0,2.5088,-,0.3472,Good
,424,6081229,True external,-,0.00475071360891637,1,0.994310902942087,9,2.32792015631004,2.9998,-,0.5457,Good
,425,6217951,True external,-,-0.074180493392737,0,0.997644125708087,0,10.4868561891685,1.8266,-,0.0372,Good
,426,6246242,True external,-,0.13499364345184,2,0.998414527004752,12,19.6716259552569,3.2048,-,0.612,Good
,427,6411707,True external,-,-0.126274990704577,0,0.997846390197636,8,16.0003512962185,2.7756,-,0.2897,Good
,428,6414407,True external,-,0.0234352336689309,0,0.996749718987734,6,4.28827397215005,2.0672,-,0.1841,Good
,429,6415701,True external,-,-0.12612449129536,0,0.997346599977514,6,10.4868561891685,2.4023,-,0.1675,Good
,430,6416228,True external,-,-0.131736993617066,0,0.997773470307708,8,34.2423874266695,4.0194,-,0.393,Moderate
,431,6421084,True external,-,-0.113252695350751,0,0.996831898426912,0,4.5923848830442,1.6965,-,0.0342,Good
,432,6421086,True external,-,-0.0317291147409814,0,0.997299894772068,0,4.5923848830442,1.5066,-,0.0299,Good
,433,6421087,True external,-,-0.058956444448917,0,0.997412399156565,0,4.5923848830442,1.4911,-,0.0312,Good
,434,6421089,True external,-,0.0567475782689717,0,0.997515903190302,0,4.5923848830442,1.3862,-,0.0375,Good
,435,6421090,True external,-,0.0015225254323584,0,0.997611445375291,0,4.5923848830442,1.3937,-,0.035,Good
,436,6421091,True external,-,0.0026917153623031,0,0.997699910361391,0,4.5923848830442,1.3669,-,0.037,Good
,437,6421092,True external,-,0.00417783269831036,0,0.997858537233019,0,4.5923848830442,1.3194,-,0.0414,Good
,438,6421098,True external,-,-0.0827936364340575,0,0.997230055389462,0,5.24342809458423,1.6035,-,0.03,Good
,439,6421099,True external,-,-0.179746939617733,0,0.997136893898608,0,5.24342809458423,1.6932,-,0.0407,Good
,440,6421100,True external,-,-0.251809755786706,0,0.997031104635903,2,9.12101806522548,2.1814,-,0.0657,Good
,441,6421101,True external,-,-0.12228037219519,0,0.996042854276717,0,0,1.6272,-,0.0663,Good
,442,6421102,True external,-,-0.0657466620216365,0,0.99721299571893,0,5.24342809458423,1.5975,-,0.0292,Good
,443,6421388,True external,-,-0.140112000111462,0,0.997093667046794,0,10.4868561891685,2.0308,-,0.0381,Good
,444,6421389,True external,-,-0.233259624026407,0,0.997534132145631,0,5.24342809458423,1.611,-,0.0553,Good
,445,6421402,True external,-,-0.0560235900952365,0,0.996154033862273,2,4.5923848830442,2.0104,-,0.0623,Good
,446,6421406,True external,-,-0.0747709077743002,0,0.996795028218561,2,4.5923848830442,1.8342,-,0.0442,Good
,447,6421407,True external,-,-0.164400635402281,0,0.995993785273201,2,4.5923848830442,2.1272,-,0.0785,Good
,448,6421410,True external,-,-0.192966187479123,0,0.995988517547251,2,4.5923848830442,2.1471,-,0.0834,Good
,449,6421411,True external,-,-0.180507311853114,0,0.996212235290172,2,4.5923848830442,2.0734,-,0.0714,Good
,450,6421416,True external,-,-0.146980021832384,0,0.99581960202421,2,4.5923848830442,2.1671,-,0.0853,Good
,451,6421564,True external,-,-0.0180273395475319,0,0.997722677615172,0,4.5923848830442,1.3736,-,0.0369,Good
,452,6421666,True external,-,-0.183490102562929,0,0.996172760322705,0,5.24342809458423,1.9788,-,0.0595,Good
,453,6421745,True external,-,-0.191520493911761,0,0.996661683569491,0,0,1.49,-,0.0564,Good
,454,6421945,True external,-,-0.0192694556145788,0,0.997716804578724,0,0,1.0693,-,0.0479,Good
,455,6421948,True external,-,0.0772683912266706,0,0.99784891861417,0,0,0.9683,-,0.0597,Good
,456,6421951,True external,-,-0.0998069415815458,0,0.9969960560784,0,0,1.3328,-,0.0418,Good
,457,6421952,True external,-,0.0797734542618196,0,0.997849905499194,0,0,0.9664,-,0.06,Good
,458,6421962,True external,-,0.0810478064371572,0,0.997774743393969,0,0,0.9877,-,0.058,Good
,459,6421963,True external,-,0.0216240073597837,0,0.997001732418812,0,0,1.2529,-,0.0425,Good
,460,6421964,True external,-,0.000909906020771564,0,0.997311148267712,0,0,1.1754,-,0.0418,Good
,461,6421965,True external,-,0.0622961394747175,0,0.997418702337003,0,0,1.1043,-,0.0483,Good
,462,6421966,True external,-,0.024551599207839,0,0.997517983016349,0,0,1.0994,-,0.046,Good
,463,6421968,True external,-,0.283615265067692,0,0.996838767924565,0,0,1.1321,-,0.105,Good
,464,6422007,True external,-,-0.0331351763574012,0,0.997801798800653,0,5.24342809458423,1.4036,-,0.0381,Good
,465,6422113,True external,-,-0.138619305790411,0,0.99605844886887,0,5.24342809458423,1.9835,-,0.0579,Good
,466,6422347,True external,-,0.113416051443215,0,0.997921575315888,0,4.5923848830442,1.2305,-,0.0555,Good
,467,6422370,True external,-,0.0187577024966924,0,0.997918308336293,0,0,0.9856,-,0.0558,Good
,468,6422371,True external,-,0.0187895898206516,0,0.997983361200784,0,0,0.9665,-,0.058,Good
,469,6422372,True external,-,-0.0754264210712641,0,0.997747235504377,0,0,1.0965,-,0.0492,Good
,470,6422373,True external,-,-0.155405522488791,0,0.997107313260682,0,0,1.3359,-,0.0472,Good
,471,6422374,True external,-,0.153202414749481,0,0.996976212797409,0,0,1.1757,-,0.0631,Good
,472,6422384,True external,-,0.110488388741616,0,0.997147027498645,0,0,1.1531,-,0.0538,Good
,473,6422385,True external,-,-0.0145300318754188,0,0.997517983016349,0,0,1.1246,-,0.0438,Good
,474,6422386,True external,-,-0.0467146327767307,0,0.997609909571299,0,0,1.1183,-,0.0452,Good
,475,6422387,True external,-,0.0685607056331819,0,0.997695269943753,0,0,1.019,-,0.0543,Good
,476,6422521,True external,-,-0.252018549996195,0,0.996416145398285,0,5.24342809458423,1.9515,-,0.0658,Good
,477,6422593,True external,-,-0.140059120322889,0,0.995818817329845,0,10.4868561891685,2.4052,-,0.0743,Good
,478,6422897,True external,-,-0.157593920589798,0,0.998121312162054,0,0,1.0395,-,0.0698,Good
,479,6423100,True external,-,-0.258659919872493,0,0.997013799802723,2,14.3644461598097,2.5412,-,0.0776,Good
,480,6423318,True external,-,-0.0462776934523286,0,0.99804256660837,0,0,0.991,-,0.0583,Good
,481,6423322,True external,-,-0.0611557355199506,0,0.997789899854151,0,0,1.0747,-,0.0499,Good
,482,6423323,True external,-,-0.0254312066170349,0,0.997932486960335,0,0,1.0099,-,0.0543,Good
,483,6423324,True external,-,0.0750506778616369,0,0.997997096742824,0,0,0.9262,-,0.0643,Good
,484,6423375,True external,-,-0.0462095974360046,0,0.997926383184065,0,0,1.025,-,0.054,Good
,485,6423376,True external,-,-0.0692879748457742,0,0.997335799152199,0,5.24342809458423,1.5637,-,0.0301,Good
,486,6423377,True external,-,0.0295477301210633,0,0.997857262623534,0,0,0.9966,-,0.0546,Good
,487,6423378,True external,-,0.0229963092412217,0,0.998214385519611,0,0,0.8959,-,0.0679,Good
,488,6423383,True external,-,0.0016486146956662,0,0.997760987131203,0,0,1.0428,-,0.0499,Good
,489,6423384,True external,-,-0.0625646270866721,0,0.997673070903833,0,0,1.11,-,0.0469,Good
,490,6423385,True external,-,-0.00624535492245354,0,0.997636003565754,0,5.24342809458423,1.4349,-,0.0345,Good
,491,6423386,True external,-,0.0324242810352777,0,0.997039776835777,0,10.4868561891685,1.9355,-,0.0334,Good
,492,6423390,True external,-,-0.035254531586655,0,0.997783375127794,0,0,1.06,-,0.0495,Good
,493,6423391,True external,-,-0.0453526401734037,0,0.997527610719462,0,0,1.1416,-,0.0436,Good
,494,6423392,True external,-,-0.147136568022907,0,0.99726838758276,0,0,1.2833,-,0.0468,Good
,495,6423393,True external,-,-0.0574876944044714,0,0.99775617551441,0,0,1.0823,-,0.0489,Good
,496,6423394,True external,-,0.0282119148552886,0,0.997926383184065,0,0,0.9771,-,0.0567,Good
,497,6423395,True external,-,-0.039770551561695,0,0.996938946605048,0,0,1.3109,-,0.0403,Good
,498,6423396,True external,-,0.0344224071001305,0,0.997619180692815,0,0,1.0634,-,0.0488,Good
,499,6423401,True external,-,-0.00545310746975175,0,0.99734632935807,0,5.24342809458423,1.5195,-,0.0301,Good
,500,6423407,True external,-,-0.00895220094964406,0,0.997102727199946,0,0,1.243,-,0.0404,Good
,501,6423408,True external,-,-0.230301449469625,0,0.997141188129788,0,23.4854642250352,2.9434,-,0.1227,Good
,502,6423409,True external,-,-0.0278673325845362,0,0.99747816923419,0,5.24342809458423,1.4952,-,0.0312,Good
,503,6423410,True external,-,-0.0112770319617393,0,0.997051477064522,0,5.24342809458423,1.6099,-,0.029,Good
,504,6423411,True external,-,0.0291269722017575,0,0.996961427442104,0,14.3644461598097,2.2197,-,0.0439,Good
,505,6423412,True external,-,0.0754465741684785,0,0.996894001147063,0,5.24342809458423,1.6003,-,0.0372,Good
,506,6423413,True external,-,-0.0483842000623077,0,0.997551575121674,0,5.24342809458423,1.4869,-,0.0324,Good
,507,6423414,True external,-,0.124343015204263,0,0.997346255951423,0,0,1.0856,-,0.0575,Good
,508,6423422,True external,-,-0.0135063578248685,0,0.99706358197723,0,0,1.2574,-,0.0403,Good
,509,6423424,True external,-,-0.0640693040037126,0,0.997455564816964,0,0,1.1748,-,0.0427,Good
,510,6423425,True external,-,-0.0595327771210635,0,0.997535078416434,0,0,1.1485,-,0.0439,Good
,511,6423426,True external,-,0.0980206512445824,0,0.997736512429155,0,0,0.988,-,0.0596,Good
,512,6423427,True external,-,-0.132947273722299,0,0.997729655062934,0,0,1.1387,-,0.053,Good
,513,6423428,True external,-,-0.107423673526601,0,0.997956689556641,0,0,1.0555,-,0.0577,Good
,514,6423432,True external,-,0.0144886844185663,0,0.997996696121212,0,0,0.9653,-,0.0583,Good
,515,6423434,True external,-,0.0683455398501424,0,0.997849905499194,0,0,0.9738,-,0.0585,Good
,516,6423436,True external,-,0.0336192948882893,0,0.997418702337003,0,0,1.1228,-,0.0453,Good
,517,6423437,True external,-,-0.0752920516258731,0,0.997280086528478,0,0,1.2336,-,0.041,Good
,518,6423438,True external,-,-0.0692730185065416,0,0.997370750310863,0,0,1.2031,-,0.0417,Good
,519,6423439,True external,-,-0.28072368774563,0,0.997213667577237,0,0,1.3853,-,0.0736,Good
,520,6423440,True external,-,-0.144288670175926,0,0.997642334103816,0,0,1.1716,-,0.0522,Good
,521,6423441,True external,-,-0.123221140391909,0,0.997810738810686,0,0,1.1086,-,0.0543,Good
,522,6423442,True external,-,-0.11479328326699,0,0.997886230575835,0,0,1.081,-,0.0559,Good
,523,6423450,True external,-,-0.0221672321432748,0,0.997619180692815,0,0,1.0998,-,0.0456,Good
,524,6423451,True external,-,-0.034930697117765,0,0.99822361575694,0,0,0.9305,-,0.0661,Good
,525,6423453,True external,-,0.0584018587334671,0,0.997490033683538,0,0,1.0859,-,0.0489,Good
,526,6423454,True external,-,-0.0813809143013282,0,0.997383474622675,1,8.00017564810927,1.8175,-,0.03,Good
,527,6423455,True external,-,-0.0943551284340189,0,0.997145499091642,0,5.24342809458423,1.6357,-,0.0305,Good
,528,6423456,True external,-,-0.0803744529732822,0,0.997243930157448,0,5.24342809458423,1.5978,-,0.03,Good
,529,6423466,True external,-,-0.240319839269545,0,0.997338347569113,0,23.4854642250352,2.8919,-,0.1258,Good
,530,6423468,True external,-,0.0321969770081866,0,0.99728225100368,0,5.24342809458423,1.5141,-,0.0318,Good
,531,6423469,True external,-,-0.107802225089599,0,0.996612253311674,0,23.4854642250352,3.0199,-,0.1074,Good
,532,6423471,True external,-,0.0362666289480761,0,0.996517835900008,0,5.24342809458423,1.736,-,0.0396,Good
,533,6423472,True external,-,0.0669920306173652,0,0.996528729216426,0,5.24342809458423,1.713,-,0.0426,Good
,534,6423473,True external,-,0.0332651461310105,0,0.996681583507151,1,8.00017564810927,1.9498,-,0.0352,Good
,535,6423474,True external,-,0.0924380820490991,0,0.996444889912795,0,14.3644461598097,2.3307,-,0.0608,Good
,536,6423480,True external,-,0.0526388727148435,0,0.996949776045685,0,5.24342809458423,1.5986,-,0.034,Good
,537,6423481,True external,-,-0.161291848263385,0,0.997305381684868,0,5.24342809458423,1.6319,-,0.0385,Good
,538,6423482,True external,-,-0.0643359423744872,0,0.99746513146526,0,0,1.1722,-,0.0428,Good
,539,6423483,True external,-,-0.0429819004327158,0,0.997763351292876,0,0,1.0708,-,0.0489,Good
,540,6423484,True external,-,-0.09758268834579,0,0.997130357527316,0,5.24342809458423,1.6423,-,0.0307,Good
,541,6423485,True external,-,-0.0833668628544769,0,0.997067885461369,0,5.24342809458423,1.6515,-,0.0299,Good
,542,6423486,True external,-,0.0374783630026054,0,0.997587877484509,0,5.24342809458423,1.4209,-,0.0361,Good
,543,6423487,True external,-,-0.188219702043736,0,0.996970997510882,0,5.24342809458423,1.7474,-,0.0425,Good
,544,6423488,True external,-,-0.0239951983435939,0,0.997431931636841,0,5.24342809458423,1.5063,-,0.0306,Good
,545,6423492,True external,-,0.0544643238771592,0,0.997411234172573,0,5.24342809458423,1.4619,-,0.0351,Good
,546,6423495,True external,-,-0.0931989057917762,0,0.997293249609664,1,8.00017564810927,1.8516,-,0.0301,Good
,547,6423496,True external,-,0.0373307237699824,0,0.997510067080783,0,5.24342809458423,1.4439,-,0.0347,Good
,548,6423497,True external,-,-0.0741813293268978,0,0.997571570373664,0,5.24342809458423,1.4976,-,0.0336,Good
,549,6423501,True external,-,-0.0572698692231952,0,0.997210033599948,0,0,1.2426,-,0.0401,Good
,550,6423503,True external,-,-0.0402232761203047,0,0.997956689556641,0,5.24342809458423,1.3626,-,0.043,Good
,551,6423504,True external,-,-0.0352466037037469,0,0.998022602796749,0,5.24342809458423,1.3401,-,0.0453,Good
,552,6423505,True external,-,-0.031107503467909,0,0.998084396459351,0,5.24342809458423,1.3193,-,0.0477,Good
,553,6423506,True external,-,-0.326655437804106,0,0.997265987796627,0,0,1.3996,-,0.0881,Good
,554,6423510,True external,-,-0.0321168535384138,0,0.997431931636842,0,5.24342809458423,1.5115,-,0.0305,Good
,555,6423515,True external,-,-0.027459528152547,0,0.997639579099017,0,0,1.0972,-,0.0459,Good
,556,6423516,True external,-,-0.118969792650403,0,0.997134063527939,0,0,1.3046,-,0.0432,Good
,557,6423517,True external,-,0.0635341842655301,0,0.997991183709563,0,0,0.9354,-,0.0626,Good
,558,6423518,True external,-,0.0158746461825045,0,0.997917342611585,0,0,0.9877,-,0.0555,Good
,559,6423519,True external,-,-0.0808445077239997,0,0.997393717124171,0,0,1.2038,-,0.0424,Good
,560,6423520,True external,-,-0.100411376002575,0,0.996804503428758,0,5.24342809458423,1.7398,-,0.033,Good
,561,6423524,True external,-,-0.165417978859259,0,0.996970997510882,0,5.24342809458423,1.7327,-,0.0387,Good
,562,6423528,True external,-,-0.0182333257208572,0,0.997574104618201,0,0,1.1105,-,0.0447,Good
,563,6423529,True external,-,-0.0415408350701486,0,0.998051707604386,0,0,0.9852,-,0.0586,Good
,564,6423530,True external,-,-0.180848048714721,0,0.996773972368476,0,0,1.4502,-,0.0529,Good
,565,6423531,True external,-,0.0340934376861498,0,0.997243288553724,0,5.24342809458423,1.5243,-,0.0318,Good
,566,6423532,True external,-,-0.0444692259687855,0,0.997156781455074,0,5.24342809458423,1.6003,-,0.0286,Good
,567,6423533,True external,-,-0.0170054479479332,0,0.997156781455074,0,5.24342809458423,1.5826,-,0.0288,Good
,568,6423534,True external,-,-0.0768236901414031,0,0.997210033599948,0,5.24342809458423,1.6055,-,0.0296,Good
,569,6423538,True external,-,-0.257117818728809,0,0.997429894046621,0,5.24342809458423,1.657,-,0.0596,Good
,570,6423539,True external,-,-0.0104379293830859,0,0.997254823473865,0,5.24342809458423,1.5496,-,0.0293,Good
,571,6423540,True external,-,-0.077219462907325,0,0.997015437657056,0,0,1.3126,-,0.0405,Good
,572,6423543,True external,-,0.127855482623145,0,0.997040054715048,0,0,1.1733,-,0.0573,Good
,573,6423548,True external,-,-0.180217106086445,0,0.996980146786799,0,4.5923848830442,1.6961,-,0.0416,Good
,574,6423549,True external,-,-0.117797282393262,0,0.996785893935301,0,4.5923848830442,1.7129,-,0.0352,Good
,575,6423550,True external,-,-0.0138423646251165,0,0.997078085395728,0,4.5923848830442,1.5602,-,0.0296,Good
,576,6423551,True external,-,-0.0682280296048324,0,0.997205125161131,0,4.5923848830442,1.5579,-,0.0299,Good
,577,6423552,True external,-,-0.0620260867831828,0,0.997321578279417,0,4.5923848830442,1.5197,-,0.0304,Good
,578,6423561,True external,-,0.0947179276044968,0,0.99692165690365,0,0,1.2294,-,0.0518,Good
,579,6423562,True external,-,-0.0826784427228386,0,0.997179427019738,0,0,1.2679,-,0.0408,Good
,580,6423563,True external,-,-0.166843497985148,0,0.997144223381977,0,4.5923848830442,1.6393,-,0.0391,Good
,581,6423564,True external,-,-0.0524601147080103,0,0.997527610719462,0,4.5923848830442,1.453,-,0.0328,Good
,582,6423570,True external,-,-0.10520320321808,0,0.99712394932076,0,16.3634868796345,2.392,-,0.0536,Good
,583,6423572,True external,-,-0.012444430660771,0,0.996858645720174,0,4.5923848830442,1.6237,-,0.031,Good
,584,6423574,True external,-,0.136752012732987,0,0.99726838758276,0,4.5923848830442,1.4074,-,0.0476,Good
,585,6423575,True external,-,-0.0112753440915531,0,0.997193236734926,0,4.5923848830442,1.5247,-,0.0297,Good
,586,6423576,True external,-,-0.00873449099462062,0,0.99733165000439,0,4.5923848830442,1.4824,-,0.0306,Good
,587,6423577,True external,-,-0.00960216964230394,0,0.996460273769004,0,4.5923848830442,1.7389,-,0.0389,Good
,588,6423578,True external,-,-0.155658034009078,0,0.99754802727043,0,0,1.2066,-,0.0516,Good
,589,6423585,True external,-,-0.166174208124269,0,0.997728873896577,0,5.24342809458423,1.5106,-,0.0464,Good
,590,6423586,True external,-,-0.141181640246829,0,0.997313056333079,0,0,1.2663,-,0.0465,Good
,591,6423587,True external,-,-0.176393075601293,0,0.997370109350366,0,0,1.2722,-,0.0519,Good
,592,6423588,True external,-,-0.245205462350727,0,0.99669623358823,0,0,1.5145,-,0.0669,Good
,593,6423589,True external,-,-0.163025339977085,0,0.997043380829174,0,14.3644461598097,2.3194,-,0.0528,Good
,594,6423590,True external,-,0.0430176957697332,0,0.99679322023448,0,0,1.3004,-,0.0463,Good
,595,6423591,True external,-,-0.0216528079276906,0,0.997429879970771,0,0,1.1551,-,0.0423,Good
,596,6423592,True external,-,-0.0614765442084498,0,0.99763548957311,0,0,1.1203,-,0.046,Good
,597,6423600,True external,-,-0.388472445373496,0,0.997230055389461,0,23.4854642250352,3.0191,-,0.1783,Good
,598,6423601,True external,-,-0.231939918606249,0,0.997284207381555,1,8.00017564810927,1.9436,-,0.0515,Good
,599,6423602,True external,-,-0.162150854620402,0,0.997136893898608,0,5.24342809458423,1.6819,-,0.0379,Good
,600,6423603,True external,-,-0.236734907542953,0,0.997136893898608,0,5.24342809458423,1.7299,-,0.0523,Good
,601,6423604,True external,-,-0.316181326929955,0,0.997156145905892,2,9.12101806522548,2.1861,-,0.0846,Good
,602,6423605,True external,-,-0.056850865668453,0,0.997196491842403,0,0,1.2463,-,0.04,Good
,603,6423606,True external,-,-0.0343070504632469,0,0.998254803177874,0,0,0.9209,-,0.0676,Good
,604,6423611,True external,-,-0.222213502752802,0,0.99724854551349,1,8.00017564810927,1.9478,-,0.0491,Good
,605,6423614,True external,-,-0.15366071692975,0,0.997427895850182,0,0,1.2406,-,0.0494,Good
,606,6423617,True external,-,0.0925923168708642,0,0.997303444938883,0,0,1.1186,-,0.0514,Good
,607,6423618,True external,-,-0.211855735170331,0,0.997158690111387,0,5.24342809458423,1.7075,-,0.0468,Good
,608,6423619,True external,-,-0.397800751797054,0,0.997195078340805,0,23.4854642250352,3.0354,-,0.1824,Good
,609,6423620,True external,-,-0.225934974984035,0,0.997534132145631,0,5.24342809458423,1.6063,-,0.0536,Good
,610,6423632,True external,-,-0.0324979290958407,0,0.997232484043393,0,0,1.22,-,0.0402,Good
,611,6423634,True external,-,-0.169686187116415,0,0.996922936588126,0,0,1.3993,-,0.0497,Good
,612,6423635,True external,-,-0.0704032417412362,0,0.997373443168241,0,5.24342809458423,1.5534,-,0.0305,Good
,613,6423636,True external,-,-0.139143868643598,0,0.997680767269216,0,5.24342809458423,1.5074,-,0.0415,Good
,614,6423637,True external,-,-0.181062337785151,0,0.997320816883338,0,0,1.2897,-,0.0521,Good
,615,6423638,True external,-,-0.116315243052501,0,0.996051227407718,0,0,1.6209,-,0.0654,Good
,616,6423646,True external,-,-0.0156948184736642,0,0.997663799782317,0,0,1.0825,-,0.0468,Good
,617,6423647,True external,-,-0.178007016800648,0,0.997022213270129,0,0,1.3755,-,0.0506,Good
,618,6423648,True external,-,-0.136069496037671,0,0.996956609709153,0,0,1.3677,-,0.0452,Good
,619,6423649,True external,-,-0.0969298321896983,0,0.99673247630344,0,0,1.4084,-,0.0442,Good
,620,6423654,True external,-,-0.0102371905315993,0,0.997574276532813,0,4.5923848830442,1.4121,-,0.0338,Good
,621,6423656,True external,-,0.0433079354044988,0,0.996956417822209,0,0,1.2523,-,0.0447,Good
,622,6423661,True external,-,-0.334565306745202,0,0.996403995160742,0,5.24342809458423,2.0082,-,0.091,Good
,623,6423664,True external,-,0.0255327748691317,0,0.997221614524505,0,0,1.1858,-,0.0428,Good
,624,6423665,True external,-,0.025797505758821,0,0.997317420920212,0,0,1.1575,-,0.0435,Good
,625,6423666,True external,-,0.0258137938070633,0,0.997406840222871,0,0,1.1313,-,0.0444,Good
,626,6423668,True external,-,0.0253867831556952,0,0.997568912708942,0,0,1.0839,-,0.047,Good
,627,6423669,True external,-,-0.0617145541008779,0,0.997043610548644,0,0,1.2943,-,0.04,Good
,628,6423670,True external,-,-0.0045318994178238,0,0.996888208267446,0,0,1.3031,-,0.0416,Good
,629,6423679,True external,-,-0.127793439777417,0,0.997736146469303,0,5.24342809458423,1.4838,-,0.0415,Good
,630,6423681,True external,-,-0.107389662587533,0,0.997329985579091,0,5.24342809458423,1.5899,-,0.0324,Good
,631,6423682,True external,-,-0.0489363517839043,0,0.997329985579091,0,5.24342809458423,1.5523,-,0.0295,Good
,632,6423683,True external,-,-0.103187569340372,0,0.997629421587801,0,5.24342809458423,1.4993,-,0.0366,Good
,633,6423684,True external,-,-0.0978558742596543,0,0.997160136318396,0,0,1.2833,-,0.0416,Good
,634,6423693,True external,-,-0.230570744484089,0,0.996714960120808,0,5.24342809458423,1.8499,-,0.0539,Good
,635,6423694,True external,-,-0.299266958812235,0,0.996444032272476,0,5.24342809458423,1.9737,-,0.0782,Good
,636,6423695,True external,-,-0.290010570277458,0,0.997320507970066,0,5.24342809458423,1.7103,-,0.0676,Good
,637,6423696,True external,-,-0.0599790885936211,0,0.998022602796749,0,5.24342809458423,1.356,-,0.0457,Good
,638,6423697,True external,-,-0.0177840694012079,0,0.997857628231465,0,5.24342809458423,1.3773,-,0.0399,Good
,639,6423698,True external,-,-0.0471095750480286,0,0.997695574059327,0,0,1.0934,-,0.0472,Good
,640,6423703,True external,-,0.0487843552614407,0,0.997774743393968,0,0,1.0084,-,0.054,Good
,641,6423707,True external,-,0.135599981715967,0,0.997048649136529,0,0,1.1658,-,0.0589,Good
,642,6423708,True external,-,0.0689267723652845,0,0.997176521131952,0,0,1.1712,-,0.0473,Good
,643,6423709,True external,-,0.0227888440692657,0,0.997281094423361,0,0,1.1701,-,0.043,Good
,644,6423710,True external,-,0.0205325609405876,0,0.997468605152785,0,0,1.1165,-,0.0449,Good
,645,6423711,True external,-,0.0171207830897706,0,0.997775440891841,0,0,1.0286,-,0.0512,Good
,646,6423712,True external,-,0.0216034274401001,0,0.997378198193956,0,0,1.1424,-,0.0438,Good
,647,6423717,True external,-,0.0224211085128204,0,0.997293249609664,0,5.24342809458423,1.5172,-,0.0311,Good
,648,6423718,True external,-,0.0247448237942277,0,0.997383474622675,0,5.24342809458423,1.4892,-,0.0321,Good
,649,6423720,True external,-,-0.448211988753806,0,0.99661709049582,0,5.24342809458423,2.0187,-,0.1334,Good
,650,6423726,True external,-,0.0767353481051935,0,0.997116816700869,0,9.83581297762843,1.8409,-,0.0367,Good
,651,6423729,True external,-,-0.079053030005563,0,0.997168782261493,0,9.83581297762843,1.9259,-,0.0312,Good
,652,6423730,True external,-,-0.0552400462464291,0,0.99709274958075,0,5.24342809458423,1.626,-,0.0287,Good
,653,6423731,True external,-,-0.0293499288563436,0,0.99734632935807,0,5.24342809458423,1.5349,-,0.0296,Good
,654,6423732,True external,-,-0.3211923859001,0,0.997252027948542,0,17.0145300911745,2.537,-,0.106,Good
,655,6423733,True external,-,0.131287773376792,0,0.996612253311674,0,5.24342809458423,1.6471,-,0.0512,Good
,656,6423734,True external,-,0.0684839040310686,0,0.996528729216426,0,5.24342809458423,1.712,-,0.0428,Good
,657,6423735,True external,-,-0.094470863717756,0,0.996980866149355,0,0,1.3338,-,0.0415,Good
,658,6423740,True external,-,0.0926389128565638,0,0.996517835900009,0,10.4868561891685,2.05,-,0.0485,Good
,659,6423743,True external,-,0.0810358531752987,0,0.997345171725891,0,4.5923848830442,1.4207,-,0.0385,Good
,660,6423746,True external,-,-0.35632732695965,0,0.996779375859035,0,17.0145300911745,2.6984,-,0.1217,Good
,661,6423748,True external,-,-0.28783909242718,0,0.997320507970066,0,0,1.3585,-,0.0765,Good
,662,6423754,True external,-,-0.444221302779649,0,0.997349817410624,0,23.4854642250352,3.0198,-,0.2056,Good
,663,6423755,True external,-,-0.180977539525079,0,0.997802500151424,0,0,1.1482,-,0.0617,Good
,664,6423756,True external,-,-0.117069674858914,0,0.997878276008272,0,0,1.0848,-,0.0559,Good
,665,6423757,True external,-,-0.135265549002364,0,0.997949000141329,0,0,1.0757,-,0.0602,Good
,666,6423773,True external,-,0.166074318264652,0,0.997926793837841,0,0,0.8883,-,0.0792,Good
,667,6423774,True external,-,0.213138995547161,0,0.99780146941752,0,0,0.8948,-,0.0882,Good
,668,6423775,True external,-,0.184128962499232,0,0.997870173498222,0,0,0.8933,-,0.082,Good
,669,6423776,True external,-,0.256807805379731,0,0.997934713695246,0,0,0.8275,-,0.1066,Good
,670,6423777,True external,-,0.20103706325814,0,0.997995457410092,0,0,0.8456,-,0.0909,Good
,671,6423778,True external,-,-0.36287861504647,0,0.996276367841892,2,0,1.8651,-,0.1305,Good
,672,6423779,True external,-,-0.341386643904046,0,0.996361838171317,2,9.12101806522548,2.4356,-,0.1069,Good
,673,6423780,True external,-,-0.288605616921964,0,0.995907143295597,0,23.4854642250352,3.3434,-,0.1735,Good
,674,6423785,True external,-,-0.161814082164098,0,0.997601894264606,0,5.24342809458423,1.5451,-,0.0428,Good
,675,6423788,True external,-,-0.000676820195594301,0,0.997708644592871,0,5.24342809458423,1.41,-,0.0363,Good
,676,6423789,True external,-,0.0579460235317973,0,0.99749213310468,0,5.24342809458423,1.4359,-,0.0365,Good
,677,6423792,True external,-,0.0312081742735444,0,0.998114914581482,0,0,0.9198,-,0.0642,Good
