"Table S1.Detailed statistic information of the training, test and true external sets in the Mouse-QSTR models  ",,,,,,,,,,,,,,
Mouse-QSTR Model,Compound Information,,,,Mouse-QSTR Model-Descriptor Value,,,,,,Predicted Activity by  Mouse-QSTR,,Model's AD,
Dataset grouping,No.,CID,Status,Exp. endpoint,AATS3p,F10[C-O],minHBint3,P_VSA_charge_10,P_VSA_charge_14,SM1_Dzm,Predicted endpoint,Residual,HAT i/i (h*=0.4375),
,58,3066718,Train,2.84,1.459527,10,0.642799,20.32267,0,1.282063,2.9498,0.4177,0.0878,
,59,3079007,Train,2.91,1.554478,7,3.422224,20.32267,0,0.997062,3.1688,1.0924,0.2588,
,60,3079008,Test,2.9,1.591695,3,0,20.32267,0,0.747797,2.724,-0.7106,0.1892,
,61,3079009,Train,2.94,1.562579,3,0,15.73028,0,1.408982,2.8264,-0.428,0.0697,
,62,3089902,Train,2.17,1.508167779,16,0,2.756747554,0,2.065594189,2.0717,-0.4211,0.2797,
,63,4485134,Train,4.15,1.547238952,18,1.646246521,45.14911897,7.191330476,2.74192137,4.414,1.2451,0.4061,
, Total Number of True External Compounds = 1913,,,,,,,,,,,,,
,No.,CID,Status,Exp. endpoint,AATS3p,F10[C-O],minHBint3,P_VSA_charge_10,P_VSA_charge_14,SM1_Dzm,Predicted Activity,Residual,HAT i/i (h*=0.4375),Prediction Quality (Proportion of Good and Moderate for Total True External Set=94.4%)
,1,1762,True external,-,1.39295305477811,22,1.87211726173171,35.31330599,7.191330476,2.991186949,4.0735,-,0.301,Good
,2,6779,True external,-,1.14083722252489,0,0,0,14.38266095,0.997062316,1.8489,-,0.0956,Good
,3,6960,True external,-,1.07833305682388,15,0,0,21.57399143,1.495593475,1.3715,-,0.1911,Good
,4,8345,True external,-,1.1045331668383,6,0,9.184769766,14.38266095,1.495593475,2.3865,-,0.0855,Good
,5,8558,True external,-,1.1074911676145,4,0,0,14.38266095,0.997062316,1.7454,-,0.0819,Good
,6,8559,True external,-,1.18172149594035,0,0,0,14.38266095,0.997062316,1.8064,-,0.0874,Good
,7,8561,True external,-,1.1235606093073,4,0,0,14.38266095,0.997062316,1.7287,-,0.0786,Good
,8,8970,True external,-,1.1688795520443,8,0,0,14.38266095,0.997062316,1.5435,-,0.0875,Good
,9,11689,True external,-,1.95908759929161,0,0,6.110208897,7.191330476,2.945692133,2.4826,-,0.0849,Good
,10,14902,True external,-,1.09781992862943,6,0,0,14.38266095,0.997062316,1.6864,-,0.0854,Good
,11,28124,True external,-,1.31869511648721,8,0,9.184769766,21.57399143,1.495593475,1.8374,-,0.1178,Good
,12,28813,True external,-,1.18080617923897,0,0,0,14.38266095,0.997062316,1.8073,-,0.0875,Good
,13,36426,True external,-,1.12282291405291,3,0,4.592384883,14.38266095,1.246327895,2.1175,-,0.0803,Good
,14,39180,True external,-,1.12119001021497,3,0,0,14.38266095,0.997062316,1.7657,-,0.0812,Good
,15,61333,True external,-,1.06424091966885,18,0,0,21.57399143,1.495593475,1.2826,-,0.2514,Good
,16,66539,True external,-,1.22080403842436,2,3.33116300851984,9.184769766,14.38266095,1.495593475,2.8201,-,0.4155,Good
,17,69060,True external,-,1.16681645328191,6,0,9.184769766,14.38266095,1.495593475,2.3218,-,0.0694,Good
,18,69119,True external,-,1.57709157778718,0,0,2.756747554,14.38266095,1.638093653,1.8375,-,0.0777,Good
,19,73717,True external,-,1.08809689470986,12,0,0,21.57399143,1.495593475,1.4649,-,0.1497,Good
,20,73718,True external,-,1.10074186508679,12,0,0,21.57399143,1.495593475,1.4518,-,0.1478,Good
,21,73719,True external,-,1.21500001875368,8,0,0,21.57399143,1.495593475,1.4712,-,0.1084,Good
,22,74432,True external,-,1.71154455192806,0,0,10.48685619,19.63473836,3.829154856,2.9331,-,0.2977,Good
,23,75560,True external,-,1.14513594351239,16,0,0,28.7653219,1.994124633,1.2431,-,0.2436,Good
,24,76389,True external,-,1.55769987204056,0,0,0,14.38266095,3.641801386,2.6523,-,0.278,Good
,25,77861,True external,-,1.42384138787381,0,0,9.184769766,14.38266095,0.997062316,2.0287,-,0.1223,Good
,26,79253,True external,-,1.16769880162665,0,0,0,14.38266095,0.997062316,1.821,-,0.0899,Good
,27,81346,True external,-,1.69097373841306,0,0,0,14.38266095,3.641801386,2.5138,-,0.2161,Good
,28,81724,True external,-,1.18658598450473,0,0,0,14.38266095,0.997062316,1.8013,-,0.0865,Good
,29,82047,True external,-,1.67168255487421,0,3.25908128261785,0,0,1.907421376,2.6453,-,0.4703,Good
,30,83310,True external,-,1.74729525853658,0,0,0,0,1.622421019,2.0261,-,0.0744,Good
,31,84135,True external,-,1.31646176859268,0,0,9.184769766,14.38266095,1.246327895,2.2569,-,0.1006,Good
,32,84206,True external,-,1.0413767477606,8,0,0,14.38266095,0.997062316,1.676,-,0.1066,Good
