"Table S1.Detailed statistic information of the training, test and true external sets in the Mouse-QSTR models  ",,,,,,,,,,,,,,
Mouse-QSTR Model,Compound Information,,,,Mouse-QSTR Model-Descriptor Value,,,,,,Predicted Activity by  Mouse-QSTR,,Model's AD,
Dataset grouping,No.,CID,Status,Exp. endpoint,AATS3p,F10[C-O],minHBint3,P_VSA_charge_10,P_VSA_charge_14,SM1_Dzm,Predicted endpoint,Residual,HAT i/i (h*=0.4375),
,470,3501915,True external,-,1.69649003590911,0,0,0,14.38266095,1.139562495,1.3381,-,0.1565,Good
,471,3507854,True external,-,1.65565087161434,8,0,20.97371238,0,3.728322069,3.9121,-,0.2289,Moderate
,472,3564246,True external,-,1.7008482001722,6,0,4.288273972,0,2.47742209,2.4883,-,0.0813,Good
,473,3581611,True external,-,1.50853933892133,10,0,10.48685619,14.38266095,1.852063387,2.0624,-,0.0729,Good
,474,3609266,True external,-,1.51858403734436,13,0,0,14.38266095,1.495593475,1.2406,-,0.1778,Good
,475,3614055,True external,-,1.51190961128999,6,0,5.243428095,7.191330476,2.120952177,2.3097,-,0.0364,Good
,476,3614976,True external,-,1.32337821329403,19,0.181361334498143,20.32266917,0,3.835087469,3.9166,-,0.4861,Moderate
,477,3625965,True external,-,1.61428825245037,16,0,0,28.7653219,2.777656148,1.122,-,0.2847,Good
,478,3634225,True external,-,1.54731918106101,4,0,18.26481602,14.38266095,1.495593475,2.464,-,0.1809,Good
,479,3701666,True external,-,1.63944209110408,12,0,16.0003513,14.38266095,3.40301485,2.8671,-,0.1273,Good
,480,3706395,True external,-,1.50224070474249,3,0,0,0,1.622421019,2.1772,-,0.0829,Good
,481,3745596,True external,-,1.79979467045537,4,0,10.48685619,14.38266095,3.443321712,2.711,-,0.1233,Good
,482,3752189,True external,-,1.49913784793601,22,0.128456520201027,20.32266917,0,3.565668459,3.4978,-,0.3849,Good
,483,3759984,True external,-,1.24412861456055,4,0.837490977420751,19.67162596,0,2.405952534,3.897,-,0.2468,Good
,484,3760906,True external,-,1.66069303262499,0,0,20.20010504,14.38266095,1.495593475,2.5841,-,0.3027,Good
,485,3769586,True external,-,1.59889283527275,14,0,16.0003513,14.38266095,2.904483692,2.607,-,0.1148,Good
,486,3805113,True external,-,2.09170599493294,12,0,10.48685619,14.38266095,3.931660184,2.3598,-,0.1873,Good
,487,3836060,True external,-,1.32792327441481,12,0,10.48685619,14.38266095,2.619483335,2.5399,-,0.1048,Good
,488,3842648,True external,-,1.62667528880326,12,0,14.69826487,14.38266095,3.40301485,2.8131,-,0.1231,Good
,489,3854389,True external,-,2.28034830935356,0,0,9.835812978,0,5.021149493,3.569,-,0.3189,Good
,490,3895058,True external,-,1.82556629695573,8,0,10.48685619,14.38266095,4.105316771,2.8556,-,0.1667,Good
,491,3923526,True external,-,1.31752173254347,12,0,10.48685619,0,2.405952534,2.9659,-,0.1879,Good
,492,3941060,True external,-,1.70175389360233,16,0,2.756747554,14.38266095,3.835989048,2.1833,-,0.2416,Good
,493,3976209,True external,-,1.34269848915363,10,0.690579800340458,24.32746627,0,2.975953248,4.0759,-,0.2531,Moderate
,494,4056053,True external,-,1.43697400417209,0,0,0,14.38266095,0.997062316,1.5411,-,0.0871,Good
,495,4106066,True external,-,1.96837090066773,8,0,19.67162596,0,5.021149493,4.1245,-,0.3633,Moderate
,496,4126465,True external,-,1.26677734177011,0,0,0,14.38266095,1.846744435,2.1153,-,0.1138,Good
,497,4149757,True external,-,1.35824699877964,6,0,4.288273972,0,1.907421376,2.5778,-,0.1139,Good
,498,4152551,True external,-,2.43334807042435,0,0,0,14.38266095,4.395790791,2.0949,-,0.3008,Good
,499,4155976,True external,-,1.84123499710085,6,0,4.288273972,0,3.22979091,2.6942,-,0.1226,Good
,500,4158909,True external,-,1.57948042774932,10,0,10.48685619,14.38266095,1.282062673,1.7222,-,0.1575,Good
,501,4178021,True external,-,1.77782848193893,12,0,0,43.14798286,2.991186949,0.6749,-,0.611,Moderate
,502,4208526,True external,-,1.21193555216646,8,0.713537107352738,4.592384883,14.38266095,1.887359232,2.2412,-,0.0956,Good
,503,4217226,True external,-,1.60938220305073,11,0,0,14.38266095,1.994124633,1.4484,-,0.1254,Good
,504,4218838,True external,-,1.76012133404108,12,0,10.48685619,14.38266095,3.443321712,2.476,-,0.1137,Good
,505,4304692,True external,-,1.59697320496786,8,0,10.48685619,14.38266095,2.120952177,2.1653,-,0.067,Good
,506,4321781,True external,-,1.36217624921578,10,3.75178933644606,10.48685619,8.101204949,2.619483335,3.2672,-,0.546,Good
,507,4347518,True external,-,1.5178671246477,10,0,10.48685619,14.38266095,1.282062673,1.7862,-,0.13,Good
,508,4351723,True external,-,1.55190712630557,16,0.18592748419386,15.07924107,0,3.067137301,3.1536,-,0.2083,Good
,509,4367778,True external,-,1.61991907592062,4,0,20.97371238,0,1.622421019,3.1027,-,0.1138,Good
,510,4370498,True external,-,1.38360840582788,4,0,0,14.38266095,1.282062673,1.5917,-,0.0599,Good
,511,4425403,True external,-,1.85226544912326,2,0,4.288273972,0,3.158138781,2.7874,-,0.1066,Good
,512,4432412,True external,-,1.16125955029812,13,0,35.31330599,21.57399143,2.243390212,3.5263,-,0.4833,Good
,513,4460573,True external,-,1.61003507569702,0,0,16.60174638,14.38266095,1.282062673,2.3512,-,0.2424,Good
,514,4495639,True external,-,1.47982532411661,16,0,20.99878368,14.38266095,2.872202757,2.9045,-,0.1585,Good
,515,4495640,True external,-,1.73695421232925,16,0,2.756747554,14.38266095,4.120179113,2.2796,-,0.272,Good
,516,4495641,True external,-,1.58882082675508,22,0,2.756747554,14.38266095,2.136624811,1.2988,-,0.3765,Good
,517,4495642,True external,-,1.44545023890028,28,0,21.12628709,14.38266095,3.133687128,2.6548,-,0.4029,Good
,518,4495643,True external,-,1.52616158288908,22,0,13.24360374,14.38266095,2.635155969,2.1382,-,0.2497,Good
,519,4495644,True external,-,1.46567138271432,18,0,2.756747554,14.38266095,2.136624811,1.5649,-,0.2178,Good
,520,4519631,True external,-,1.24585293014814,5,2.82975184079056,13.77715465,21.57399143,1.744859054,2.7238,-,0.3265,Good
,521,4522662,True external,-,1.67443624111765,6,0,0,0,1.622421019,1.8947,-,0.1135,Good
,522,4548722,True external,-,1.87872560728291,12,0,0,14.38266095,0.997062316,0.6677,-,0.4809,Moderate
,523,4551427,True external,-,1.68929558390656,4,0,3.821013931,14.38266095,2.334921911,1.9636,-,0.0614,Good
,524,4589619,True external,-,1.25679067993899,4,0.757961973123187,19.67162596,0,2.405952534,3.8739,-,0.2353,Good
,525,4591686,True external,-,1.68829674564465,0,2.95337899293605,0,0,1.907421376,2.5898,-,0.3983,Good
,526,4599436,True external,-,2.09576855727133,0,0,19.67162596,0,5.021149493,4.2683,-,0.4216,Moderate
,527,4599450,True external,-,1.32237269229335,4,0.785277961858821,19.67162596,0,3.728322069,4.4276,-,0.5348,Moderate
,528,4606001,True external,-,1.727983322445,12,0,15.77662305,0,3.443139138,3.2973,-,0.1582,Good
,529,4653497,True external,-,1.54325621290833,12,2.69481845563484,17.83598863,0,3.31640288,3.8731,-,0.3801,Moderate
,530,4663458,True external,-,1.43565916725437,8,3.36500684132774,10.48685619,8.551645076,3.189484049,3.462,-,0.5514,Good
,531,4714864,True external,-,1.61427528452808,3,0,7.664164017,14.38266095,1.943247441,2.0912,-,0.0699,Good
,532,4855121,True external,-,1.62445306455761,12,0,19.67162596,0,1.622421019,2.7545,-,0.1489,Good
,533,5024137,True external,-,1.51453288483557,16,0,21.5138464,28.7653219,3.40301485,2.6282,-,0.3385,Good
,534,5056868,True external,-,1.46532903668266,2,0,0,0,1.622421019,2.2501,-,0.0853,Good
,535,5071838,True external,-,1.65757494228533,10,0,14.77513016,14.38266095,2.904483692,2.6209,-,0.0925,Good
,536,5082992,True external,-,1.58615337260768,2,0,15.07924107,0,1.871686598,3.0192,-,0.0621,Good
,537,5105077,True external,-,1.51118419178705,12,0,19.67162596,14.38266095,2.619483335,2.8234,-,0.1214,Good
,538,5106227,True external,-,1.66235710813566,10,0,16.0003513,0,2.405952534,2.9611,-,0.0833,Good
,539,5171383,True external,-,1.1946905587579,8,0,0,28.7653219,2.492655791,1.701,-,0.2254,Good
,540,5196803,True external,-,1.4797092550845,15,0,0,21.57399143,1.495593475,0.9544,-,0.2495,Moderate
,541,5205957,True external,-,1.7979483288877,0,0,15.07924107,0,3.321785256,3.5462,-,0.1597,Good
,542,5240590,True external,-,1.71792925363521,6,0,9.801769079,0,2.192421733,2.6218,-,0.0519,Good
,543,5253141,True external,-,1.23208070626913,10,0.660513362473509,19.67162596,0,2.690952891,3.8135,-,0.2542,Good
,544,5257702,True external,-,1.70193043781188,8,0,41.94742476,0,3.244842038,4.7203,-,0.5027,Moderate
,545,5468494,True external,-,1.63179925865896,8,0,0,35.52782498,2.635155969,1.0712,-,0.3537,Good
,546,5472508,True external,-,1.8913028966605,24,0,0,28.7653219,2.777656148,0.5579,-,0.6648,Moderate
,547,6063677,True external,-,1.59697320496786,8,0,10.48685619,14.38266095,2.120952177,2.1653,-,0.067,Good
,548,6420644,True external,-,1.15346579745888,0,0,0,14.38266095,0.997062316,1.8357,-,0.0928,Good
,549,6421085,True external,-,1.15356468856622,1,0,4.592384883,14.38266095,1.246327895,2.1546,-,0.0905,Good
,550,6421088,True external,-,1.15300211350676,5,0,4.592384883,14.38266095,1.246327895,2.0171,-,0.0638,Good
,551,6421093,True external,-,1.08799585301441,5,0,4.592384883,14.38266095,1.246327895,2.0847,-,0.0791,Good
,552,6421094,True external,-,1.08359337405594,5,0,4.592384883,14.38266095,1.246327895,2.0893,-,0.0804,Good
,553,6421095,True external,-,1.07602019781648,5,0,4.592384883,14.38266095,1.246327895,2.0971,-,0.0826,Good
,554,6421096,True external,-,1.09840712082163,4,0,4.592384883,14.38266095,1.246327895,2.1084,-,0.0807,Good
,555,6421097,True external,-,1.40108023174499,0,0,5.243428095,14.38266095,0.997062316,1.849,-,0.0922,Good
,556,6421403,True external,-,1.13158695572518,7,0,4.592384883,14.38266095,1.139562495,1.9204,-,0.0656,Good
,557,6421404,True external,-,1.12413340609613,7,0,4.592384883,14.38266095,1.139562495,1.9281,-,0.0668,Good
,558,6421405,True external,-,1.11749297097208,8,0,4.592384883,14.38266095,1.139562495,1.9005,-,0.0708,Good
,559,6421408,True external,-,1.14001270747974,6,0,4.592384883,14.38266095,1.139562495,1.9462,-,0.0632,Good
,560,6421415,True external,-,1.21596659151854,4,0,4.592384883,14.38266095,1.139562495,1.9363,-,0.0569,Good
,561,6421417,True external,-,1.10617157338352,8,0,4.592384883,14.38266095,1.139562495,1.9123,-,0.0727,Good
,562,6421418,True external,-,1.18858468818255,4,0,4.592384883,14.38266095,1.139562495,1.9647,-,0.0598,Good
,563,6421544,True external,-,1.37405223769937,4,0,23.48546423,14.38266095,1.732640262,3.0243,-,0.2245,Good
,564,6421545,True external,-,1.3839200651551,4,0,5.243428095,14.38266095,0.997062316,1.7287,-,0.0731,Good
,565,6421546,True external,-,1.41179569842211,4,0,5.243428095,14.38266095,0.997062316,1.6997,-,0.079,Good
,566,6421547,True external,-,1.43678764548909,4,0,5.243428095,14.38266095,0.997062316,1.6738,-,0.0852,Good
,567,6421944,True external,-,1.312770549315,4,0,0,14.38266095,0.997062316,1.5321,-,0.0672,Good
,568,6421946,True external,-,1.27347031187436,8,0,0,14.38266095,0.997062316,1.4348,-,0.0884,Good
,569,6421947,True external,-,1.24002374161681,6,0,0,14.38266095,0.997062316,1.5386,-,0.0719,Good
,570,6421949,True external,-,1.18518566943334,8,0,0,14.38266095,0.997062316,1.5266,-,0.0867,Good
,571,6421950,True external,-,1.39502173546064,8,0,0,14.38266095,0.997062316,1.3085,-,0.108,Good
,572,6422008,True external,-,1.44456492389037,5,0,10.48685619,14.38266095,1.246327895,2.0183,-,0.0873,Good
,573,6422046,True external,-,1.44827720759442,4,0,5.243428095,14.38266095,0.997062316,1.6618,-,0.0883,Good
,574,6422047,True external,-,1.47332558894709,4,0,5.243428095,14.38266095,0.997062316,1.6358,-,0.0958,Good
,575,6422283,True external,-,1.20796996870934,10,0,0,14.38266095,1.495593475,1.6669,-,0.1014,Good
,576,6422366,True external,-,1.2819587379924,4,0,0,14.38266095,0.997062316,1.5641,-,0.0657,Good
,577,6422367,True external,-,1.20902830951311,6,0,0,14.38266095,0.997062316,1.5708,-,0.0725,Good
,578,6422368,True external,-,1.24085295762092,6,0,0,14.38266095,0.997062316,1.5378,-,0.0719,Good
,579,6422369,True external,-,1.31837683969708,4,0,0,14.38266095,0.997062316,1.5263,-,0.0676,Good
,580,6422388,True external,-,1.19637711273609,7,0,0,14.38266095,0.997062316,1.5495,-,0.0786,Good
,581,6422389,True external,-,1.28760472873447,4,0,0,14.38266095,0.997062316,1.5582,-,0.0659,Good
,582,6422480,True external,-,1.51939406220063,5,0,9.835812978,14.38266095,1.246327895,1.9069,-,0.1044,Good
,583,6422519,True external,-,1.32270841034734,2,0,5.243428095,14.38266095,0.997062316,1.8614,-,0.0698,Good
,584,6422520,True external,-,1.35070622849796,0,0,5.243428095,14.38266095,0.997062316,1.9013,-,0.0863,Good
,585,6422594,True external,-,1.31336220820979,1,0,10.48685619,14.38266095,1.246327895,2.2928,-,0.0984,Good
,586,6422743,True external,-,1.28662650932438,4,0,5.243428095,14.38266095,1.658247084,2.139,-,0.0557,Good
,587,6422927,True external,-,1.25624629556974,10,0,0,14.38266095,0.997062316,1.3837,-,0.1109,Good
,588,6423157,True external,-,1.16769018216553,6,0,0,14.38266095,1.495593475,1.8469,-,0.086,Good
,589,6423317,True external,-,1.29898529489492,6,0,0,14.38266095,0.997062316,1.4774,-,0.0743,Good
,590,6423325,True external,-,1.22717985222173,8,0,0,14.38266095,0.997062316,1.4829,-,0.0862,Good
,591,6423379,True external,-,1.06930605088095,6,0,0,14.38266095,0.997062316,1.716,-,0.0914,Good
,592,6423380,True external,-,1.06930605088095,7,0,0,14.38266095,0.997062316,1.6815,-,0.0949,Good
,593,6423381,True external,-,1.05914190575804,7,0,0,14.38266095,0.997062316,1.6921,-,0.0972,Good
,594,6423388,True external,-,1.07968925085565,6,0,0,14.38266095,0.997062316,1.7052,-,0.0891,Good
,595,6423389,True external,-,1.06643830993556,6,0,0,14.38266095,0.997062316,1.719,-,0.0921,Good
,596,6423397,True external,-,1.26151467078632,8,0,8.000175648,14.38266095,1.638093653,2.1598,-,0.0531,Good
,597,6423398,True external,-,1.29456762702757,4,0,5.243428095,14.38266095,1.139562495,1.8882,-,0.055,Good
,598,6423399,True external,-,1.37871777142659,2,0,5.243428095,14.38266095,1.846744435,2.2005,-,0.063,Good
,599,6423400,True external,-,1.34615112639349,2,0,5.243428095,14.38266095,1.846744435,2.2343,-,0.0681,Good
,600,6423404,True external,-,1.1410905276267,2,0,0,14.38266095,0.997062316,1.7795,-,0.0813,Good
,601,6423405,True external,-,1.23370079815574,4,0,5.243428095,14.38266095,1.246327895,2.0014,-,0.0553,Good
,602,6423406,True external,-,1.08555063579701,8,0,0,14.38266095,0.997062316,1.6301,-,0.0975,Good
,603,6423415,True external,-,1.12726772816604,6,0,0,14.38266095,1.246327895,1.7724,-,0.0851,Good
,604,6423416,True external,-,1.12102394653216,6,0,0,14.38266095,1.246327895,1.7788,-,0.0866,Good
,605,6423417,True external,-,1.11023923280091,7,0,0,14.38266095,1.246327895,1.7555,-,0.0921,Good
,606,6423418,True external,-,1.18384793210159,3,0,0,14.38266095,1.246327895,1.8171,-,0.0748,Good
,607,6423419,True external,-,1.18730919168941,3,0,0,14.38266095,1.246327895,1.8135,-,0.0741,Good
,608,6423420,True external,-,1.2106048932143,5,0,0,14.38266095,1.246327895,1.7203,-,0.0678,Good
,609,6423421,True external,-,1.19885591566455,5,0,0,14.38266095,1.246327895,1.7325,-,0.0696,Good
,610,6423423,True external,-,1.42579843032074,0,3.17075865753799,35.25656622,14.38266095,1.732640262,4.1123,-,0.624,Good
,611,6423429,True external,-,1.07626186522545,4,0,0,14.38266095,0.997062316,1.7779,-,0.0891,Good
,612,6423430,True external,-,1.30047584852852,0,0,4.592384883,14.38266095,0.997062316,1.9199,-,0.0814,Good
,613,6423431,True external,-,1.12135673527589,5,0,0,14.38266095,0.997062316,1.6965,-,0.0791,Good
,614,6423433,True external,-,1.09549485706123,6,0,0,14.38266095,0.997062316,1.6888,-,0.0859,Good
,615,6423435,True external,-,1.12673194315244,6,0,0,14.38266095,0.997062316,1.6564,-,0.0804,Good
,616,6423443,True external,-,1.23645872180031,2,0,4.592384883,14.38266095,0.997062316,1.9174,-,0.0667,Good
,617,6423444,True external,-,1.21539272543224,2,0,4.592384883,14.38266095,0.997062316,1.9393,-,0.0679,Good
,618,6423445,True external,-,1.19780551745523,2,0,4.592384883,14.38266095,0.997062316,1.9576,-,0.0694,Good
,619,6423446,True external,-,1.12622967103717,4,0,4.592384883,14.38266095,0.997062316,1.9629,-,0.0681,Good
,620,6423447,True external,-,1.41296140471192,0,0,9.184769766,14.38266095,0.997062316,2.04,-,0.1202,Good
,621,6423448,True external,-,1.15013163496245,0,0,0,14.38266095,0.997062316,1.8392,-,0.0936,Good
,622,6423449,True external,-,1.10946027129715,6,0,0,14.38266095,0.997062316,1.6743,-,0.0833,Good
,623,6423452,True external,-,1.07588775141136,4,0,0,14.38266095,0.997062316,1.7783,-,0.0892,Good
,624,6423457,True external,-,1.15175494707868,9,0,0,14.38266095,1.246327895,1.6433,-,0.0965,Good
,625,6423458,True external,-,1.26649118265519,4,0,5.243428095,14.38266095,1.658247084,2.1599,-,0.0592,Good
,626,6423459,True external,-,1.25115639694873,4,0,5.243428095,14.38266095,1.658247084,2.1759,-,0.0623,Good
,627,6423462,True external,-,1.19573599110905,4,0,5.243428095,14.38266095,0.997062316,1.9243,-,0.0607,Good
,628,6423463,True external,-,1.18512565537377,4,0,5.243428095,14.38266095,0.997062316,1.9353,-,0.0615,Good
,629,6423464,True external,-,1.17561928520633,4,0,5.243428095,14.38266095,0.997062316,1.9452,-,0.0623,Good
,630,6423465,True external,-,1.22871294830362,4,0,5.243428095,14.38266095,1.658247084,2.1992,-,0.0673,Good
,631,6423467,True external,-,1.1606911712497,4,0,23.48546423,14.38266095,1.732640262,3.246,-,0.2486,Good
,632,6423470,True external,-,1.30436400301901,2,0,5.243428095,14.38266095,1.658247084,2.1896,-,0.0668,Good
,633,6423475,True external,-,1.26587990561244,4,0,0,14.38266095,1.638093653,1.8806,-,0.0707,Good
,634,6423476,True external,-,1.34390865838648,2,0,5.243428095,14.38266095,1.658247084,2.1485,-,0.0612,Good
,635,6423477,True external,-,1.30436400301901,2,0,5.243428095,14.38266095,1.658247084,2.1896,-,0.0668,Good
,636,6423478,True external,-,1.24947184606488,4,0,5.243428095,14.38266095,1.246327895,1.985,-,0.054,Good
,637,6423479,True external,-,1.2841026070344,0,0,0,14.38266095,0.997062316,1.7,-,0.0766,Good
,638,6423489,True external,-,1.22804560842891,6,0,5.243428095,14.38266095,0.997062316,1.8216,-,0.0589,Good
,639,6423490,True external,-,1.24943608140948,3,0,10.48685619,14.38266095,1.246327895,2.2901,-,0.08,Good
,640,6423491,True external,-,1.23192902728909,4,0,10.48685619,14.38266095,1.246327895,2.2738,-,0.0734,Good
,641,6423493,True external,-,1.11526631173878,4,0,0,14.38266095,0.997062316,1.7373,-,0.0803,Good
,642,6423494,True external,-,1.10875433772434,4,0,0,14.38266095,0.997062316,1.7441,-,0.0816,Good
,643,6423498,True external,-,1.29543258085012,3,0,5.243428095,14.38266095,1.846744435,2.2525,-,0.0697,Good
,644,6423502,True external,-,1.26378156739806,3,0,0,14.38266095,1.658247084,1.9267,-,0.0756,Good
,645,6423507,True external,-,1.21504256122082,4,0,5.243428095,14.38266095,1.658247084,2.2134,-,0.0708,Good
,646,6423508,True external,-,1.36563827132274,2,0,5.243428095,14.38266095,2.319431851,2.4351,-,0.0999,Good
,647,6423509,True external,-,1.33884142228578,3,0,5.243428095,14.38266095,2.319431851,2.4284,-,0.0977,Good
,648,6423511,True external,-,1.2778740946111,4,0,5.243428095,14.38266095,2.319431851,2.4573,-,0.1106,Good
,649,6423512,True external,-,1.31708270128734,2,0,14.36444616,14.38266095,2.214533408,2.9072,-,0.1514,Good
,650,6423513,True external,-,1.45242515607195,0,0,14.36444616,14.38266095,2.214533408,2.8356,-,0.1589,Good
,651,6423514,True external,-,1.17596849146348,4,0,0,14.38266095,0.997062316,1.6742,-,0.0706,Good
,652,6423521,True external,-,1.08399454442922,6,0,0,14.38266095,0.997062316,1.7008,-,0.0882,Good
,653,6423522,True external,-,1.09098904005272,6,0,0,14.38266095,0.997062316,1.6935,-,0.0868,Good
,654,6423523,True external,-,1.45464493233763,0,0,5.243428095,14.38266095,1.846744435,2.1906,-,0.0764,Good
,655,6423525,True external,-,1.36376980402049,0,0,5.243428095,14.38266095,0.997062316,1.8878,-,0.0875,Good
,656,6423526,True external,-,1.51622491669985,0,0,5.243428095,14.38266095,2.319431851,2.3477,-,0.0913,Good
,657,6423527,True external,-,1.3388464742221,0,0,5.243428095,14.38266095,0.997062316,1.9137,-,0.0854,Good
,658,6423535,True external,-,1.21112273520903,2,0,23.48546423,14.38266095,1.732640262,3.2626,-,0.2764,Good
,659,6423536,True external,-,1.28278961225061,2,0,5.243428095,14.38266095,1.658247084,2.212,-,0.0708,Good
,660,6423537,True external,-,1.26755085220462,3,0,5.243428095,14.38266095,1.246327895,2.0007,-,0.0571,Good
,661,6423541,True external,-,1.34825923867818,6,0,8.000175648,14.38266095,1.638093653,2.1387,-,0.047,Good
,662,6423544,True external,-,1.15068190929309,5,0,0,14.38266095,1.246327895,1.7826,-,0.0786,Good
,663,6423545,True external,-,1.14195897906929,5,0,0,14.38266095,1.246327895,1.7916,-,0.0806,Good
,664,6423546,True external,-,1.11537481076817,7,0,0,14.38266095,1.246327895,1.7502,-,0.0908,Good
,665,6423547,True external,-,1.2378296491449,1,0,4.592384883,14.38266095,1.246327895,2.0671,-,0.0738,Good
,666,6423553,True external,-,1.13692784043499,4,0,4.592384883,14.38266095,1.246327895,2.0684,-,0.0708,Good
,667,6423565,True external,-,1.12011087231667,5,0,4.592384883,14.38266095,1.246327895,2.0513,-,0.0709,Good
,668,6423566,True external,-,1.1131862383856,5,0,4.592384883,14.38266095,1.246327895,2.0585,-,0.0725,Good
,669,6423567,True external,-,1.101523697028,5,0,4.592384883,14.38266095,1.246327895,2.0706,-,0.0755,Good
,670,6423568,True external,-,1.09208259211948,5,0,4.592384883,14.38266095,1.246327895,2.0804,-,0.078,Good
,671,6423569,True external,-,1.20527843040724,4,0,16.36348688,14.38266095,0.997062316,2.4882,-,0.1342,Good
,672,6423571,True external,-,1.27461932968328,2,0,16.36348688,14.38266095,0.997062316,2.4852,-,0.159,Good
,673,6423573,True external,-,1.26574724136512,0,0,4.592384883,14.38266095,0.997062316,1.956,-,0.0818,Good
,674,6423579,True external,-,1.48713038132889,0,0,5.243428095,14.38266095,1.846744435,2.1569,-,0.0751,Good
,675,6423580,True external,-,1.33769203433048,2,0,5.243428095,14.38266095,1.846744435,2.2431,-,0.0696,Good
,676,6423581,True external,-,1.29548360323381,0,0,0,14.38266095,0.997062316,1.6882,-,0.0763,Good
,677,6423582,True external,-,1.3896952135868,2,0,0,14.38266095,1.638093653,1.8209,-,0.0595,Good
,678,6423583,True external,-,1.2514826237443,2,0,0,14.38266095,0.997062316,1.6648,-,0.0678,Good
,679,6423584,True external,-,1.39689597828244,1,0,10.48685619,14.38266095,1.246327895,2.2059,-,0.1026,Good
,680,6423593,True external,-,1.16394925858104,3,0,0,14.38266095,0.997062316,1.7213,-,0.0735,Good
,681,6423594,True external,-,1.154628653018,4,0,0,14.38266095,0.997062316,1.6964,-,0.0734,Good
,682,6423595,True external,-,1.21268795107561,0,0,0,14.38266095,0.997062316,1.7742,-,0.0826,Good
,683,6423596,True external,-,1.36988698269413,0,0,5.243428095,14.38266095,0.997062316,1.8814,-,0.0881,Good
,684,6423597,True external,-,1.42785399532211,2,0,5.243428095,14.38266095,1.139562495,1.8188,-,0.0745,Good
,685,6423598,True external,-,1.44433017269731,0,0,5.243428095,14.38266095,1.658247084,2.1132,-,0.0742,Good
,686,6423599,True external,-,1.44648381668519,0,0,0,14.38266095,1.658247084,1.8404,-,0.069,Good
,687,6423607,True external,-,1.10275585103327,8,0,0,14.38266095,0.997062316,1.6122,-,0.0947,Good
,688,6423608,True external,-,1.23374619053442,4,0,0,14.38266095,0.997062316,1.6142,-,0.0661,Good
,689,6423609,True external,-,1.08927415252725,8,0,0,14.38266095,0.997062316,1.6262,-,0.0969,Good
,690,6423610,True external,-,1.09781992862943,8,0,0,14.38266095,0.997062316,1.6173,-,0.0954,Good
,691,6423612,True external,-,1.33243166882857,6,0,5.243428095,14.38266095,1.139562495,1.7798,-,0.0582,Good
,692,6423613,True external,-,1.350183509405,6,0,5.243428095,14.38266095,0.997062316,1.6947,-,0.0707,Good
,693,6423615,True external,-,1.38941077873618,4,0,5.243428095,14.38266095,1.658247084,2.0322,-,0.0463,Good
,694,6423616,True external,-,1.16267123422517,4,0,0,14.38266095,0.997062316,1.6881,-,0.0723,Good
,695,6423621,True external,-,1.43566523299019,4,0,5.243428095,14.38266095,2.319431851,2.2933,-,0.0649,Good
,696,6423622,True external,-,1.3829077386248,4,0,14.36444616,14.38266095,2.214533408,2.7697,-,0.1073,Good
,697,6423623,True external,-,1.13430568607267,8,0,4.592384883,14.38266095,0.997062316,1.8164,-,0.0698,Good
,698,6423624,True external,-,1.14439778551391,8,0,0,14.38266095,0.997062316,1.5689,-,0.0895,Good
,699,6423625,True external,-,1.16413471547388,4,0,0,14.38266095,0.997062316,1.6865,-,0.0721,Good
,700,6423626,True external,-,1.2587973158428,8,0,0,14.38266095,0.997062316,1.4501,-,0.0873,Good
,701,6423629,True external,-,1.1327612758187,8,0,0,14.38266095,1.246327895,1.6976,-,0.0923,Good
,702,6423630,True external,-,1.2654801360276,6,0,16.36348688,14.38266095,0.997062316,2.3566,-,0.125,Good
,703,6423631,True external,-,1.24557044619195,4,0,0,14.38266095,0.997062316,1.6019,-,0.0657,Good
,704,6423633,True external,-,1.30450511456971,6,0,5.243428095,14.38266095,0.997062316,1.7422,-,0.0639,Good
,705,6423639,True external,-,1.20471166994939,5,0,0,14.38266095,1.246327895,1.7264,-,0.0687,Good
,706,6423640,True external,-,1.2555286097413,4,0,4.592384883,14.38266095,0.997062316,1.8285,-,0.0587,Good
,707,6423641,True external,-,1.34150743798388,4,0,5.243428095,14.38266095,0.997062316,1.7728,-,0.0661,Good
,708,6423642,True external,-,1.27764598755314,4,0,5.243428095,14.38266095,0.997062316,1.8392,-,0.0602,Good
,709,6423643,True external,-,1.34564697842143,4,0,5.243428095,14.38266095,1.658247084,2.0777,-,0.0485,Good
,710,6423644,True external,-,1.31131838868935,4,0,5.243428095,14.38266095,0.997062316,1.8042,-,0.0626,Good
,711,6423645,True external,-,1.09334674895094,8,0,0,14.38266095,0.997062316,1.622,-,0.0962,Good
,712,6423651,True external,-,1.29281892985159,6,0,4.592384883,14.38266095,0.997062316,1.7207,-,0.0625,Good
,713,6423652,True external,-,1.38579099782325,4,0,15.07924107,14.38266095,1.246327895,2.3509,-,0.1209,Good
,714,6423653,True external,-,1.33838959767181,2,0,4.592384883,14.38266095,0.997062316,1.8115,-,0.0694,Good
,715,6423657,True external,-,1.44005195886791,0,3.16332023826307,17.01453009,14.38266095,0.997062316,2.8113,-,0.3537,Good
,716,6423658,True external,-,1.28195669840713,0,0,5.243428095,14.38266095,0.997062316,1.9728,-,0.0837,Good
,717,6423659,True external,-,1.3455478963771,0,0,5.243428095,14.38266095,0.997062316,1.9067,-,0.0859,Good
