model,n,n_train,n_test,max_abs_equation_vs_stored_prediction,train_R2_corr_squared,train_MAE,test_R2_corr_squared,test_RMSE,test_MAE,equation_reproduces_stored_predictions
mouse_qstr,63,48,15,0.0008672206687998507,0.8626262340306613,0.19827069895728325,0.922354476405572,0.33773664921512314,0.29315509939679985,True
rat_qstr,67,51,16,0.000756063500045645,0.8566440262605007,0.24117495473921055,0.8455741578681567,0.2842701934400427,0.2370783743437458,True
mouse_qrastr,63,48,15,0.0012633884353006053,0.8872835616913974,0.17979852271288657,0.7919606207380064,0.44271929257342474,0.37520350508559325,True
rat_qrastr,67,51,16,0.002233088869799893,0.8398893148212984,0.2541706444180921,0.8218832720383337,0.3077494841168705,0.2589598733744686,True
mouse_to_rat_iqttr,27,20,7,5.50843795750211e-05,0.7772102363795881,0.3262955416059777,0.7743192260668252,0.332494133517702,0.272140209673932,True
rat_to_mouse_iqttr,27,20,7,5.6470932328744894e-05,0.7459106130239189,0.3216035044744688,0.9101509775928184,0.18834004455259193,0.1731462503550749,True
