species,rows,columns,blank_or_na_cells,duplicate_header_fields,modeling_compounds_checked,values_compared,max_abs_difference,status
mouse,94,4749,0,CID,63,441,3.86e-07,PASS
rat,96,4783,0,CID,67,402,4.994e-06,PASS
