model,R2_train,Q2_LOO,MAE_train,R2_external,Q2_F1,Q2_F2,Q2_F3,CCC_external,RMSE_external,MAE_external
QSTR,0.8567,0.8254,0.2412,0.8456,0.8505,0.8444,0.8825,0.916,0.2843,0.2371
q-RASTR,0.8399,0.8057,0.2541,0.8219,0.8249,0.8178,0.8625,0.8954,0.3077,0.2588
RF,0.897,,0.198,0.48,,,,,0.52,0.428
NN,0.848,,0.258,0.808,,,,,0.316,0.264
kNN,0.221,,0.374,0.321,,,,,0.594,0.43
GB,0.893,,0.223,0.634,,,,,0.436,0.346
XGB,0.931,,0.152,0.614,,,,,0.448,0.325
SGD,0.858,,0.247,0.836,,,,,0.292,0.244
SVM,0.78,,0.297,0.78,,,,,0.338,0.278
