No,CID,Predicted_pLD50,Rank
802,10020498,5.97,1
165,127463,5.48,2
859,10088356,4.91,3
190,235011,4.71,4
969,10190305,4.68,5
809,10027670,4.66,6
1038,10282004,4.62,7
115,110837,4.59,8
863,10091963,4.58,9
1076,10317484,4.54,10
